Iteration,AverageQLoss,AbsLearnSignal,ProcessExecTime,dLoss,Time,AverageReturn,AverageAbsQYDiff,PolicyExecTime,AverageDiscountedReturn,MinReturn,AverageY,AveragePolicyStd,LossBefore,MeanKLBefore,AverageAbsQ,AbsLearnSignalNew,NumTrajs,LossAfter,Perplexity,MaxReturn,AbsLearnSignalOld,EnvExecTime,AverageQ,ExplainedVariance,Entropy,StdReturn,ItrTime,MeanKL,AverageAbsY
0,17.5223,0.8391429861,0.16208958625793457,0.0752473,64.15634942054749,105.23104034,2.47935263592,1.0401463508605957,94.1394702495,74.8413720609,15.2628938426,1.0,1.58742,0.0,15.2628,0.8391429861,228,1.51217,2.99248e+10,221.162961554,0.838971806203,7.41765022277832,15.188,9.73898739431e-12,24.122,27.3051739719,64.15633916854858,0.00661444,15.3897215434
1,7.76339,0.407191027965,0.14942717552185059,0.0888309,129.08571410179138,103.580710113,1.94014061861,1.0867152214050293,92.7642605271,70.5784322603,30.6794181388,1.00024,-23.0014,0.0,30.6511,0.407191027965,231,-23.0903,3.00449e+10,199.985361169,0.408324954896,7.722002029418945,30.6461,-0.346440471425,24.126,28.5915860639,64.78032112121582,0.00781375,30.6794181388
2,8.3707,0.124638545285,0.1497199535369873,0.083519,193.24595022201538,106.673700155,1.99774812489,1.0962295532226562,95.2056987918,73.6385816814,42.0190718798,1.00014,-38.2305,0.0,42.0114,0.124638545285,224,-38.3141,2.99933e+10,210.624477183,0.124796579235,7.752545356750488,42.0005,-62.6101613195,24.1242,29.7804319485,64.03050541877747,0.00557046,42.0198883498
3,10.9461,0.126289935601,0.15036916732788086,0.186954,256.7209050655365,107.866364794,2.33660541551,1.0794291496276855,96.1545485886,76.2735459175,49.7698077445,1.00019,-47.4014,0.0,49.7638,0.126289935601,221,-47.5883,3.00226e+10,221.950800793,0.126591170421,7.658297300338745,49.7535,-52.1459379847,24.1252,29.2941915593,63.34841585159302,0.00976322,49.7698393363
4,15.8536,0.392512309589,0.14884042739868164,0.249863,321.41909193992615,119.791477502,2.88783871615,1.0973761081695557,105.193953843,76.7115571283,55.2993573976,1.00023,-55.6203,0.0,55.2933,0.392512309589,201,-55.8701,3.00427e+10,284.224416148,0.394350484619,7.8221025466918945,55.2832,-0.429858559129,24.1259,36.2257211,64.57415127754211,0.00991548,55.3000385572
5,21.364,0.561506176453,0.14611196517944336,0.258549,386.0516471862793,121.123448672,3.40620044642,1.0774595737457275,106.073825619,78.9183854695,59.4506885819,1.00042,-60.5578,0.0,59.4424,0.561506176453,197,-60.8164,3.01401e+10,300.635279928,0.564885365957,7.754539966583252,59.4351,0.147000458201,24.1291,38.4622694769,64.50616312026978,0.00914362,59.4507044972
6,27.745,0.55694896866,0.14825797080993652,0.349289,450.4317898750305,138.866289788,3.86704807505,1.1075170040130615,119.20546635,77.6140702714,63.6113079572,1.00038,-67.1845,0.0,63.6022,0.55694896866,172,-67.5338,3.01174e+10,335.829277741,0.560719194204,7.979535341262817,63.5945,0.126359260697,24.1284,43.9130530874,64.2524778842926,0.00959595,63.6115938006
7,34.9402,0.118895924051,0.14668703079223633,0.468536,514.0691854953766,147.481918646,4.33414642093,1.1208240985870361,124.966747784,77.1075264171,68.0868713674,1.00039,-72.5476,0.0,68.0783,0.118895924051,161,-73.0162,3.01239e+10,332.845071212,0.119375199259,7.898001670837402,68.0704,-120.613709682,24.1286,52.408543334,63.51137399673462,0.00930546,68.0870595296
8,43.1877,0.101098709907,0.14556550979614258,0.45787,578.7703723907471,165.68334204,4.78866184911,1.112950086593628,137.949413001,81.8057280518,73.6747492475,1.0004,-81.335,0.0,73.6698,0.101098709907,144,-81.7929,3.01262e+10,464.135905539,0.101307421553,8.082765817642212,73.6604,-535.61550501,24.1287,55.1979616664,64.56528496742249,0.00992828,73.6754144049
9,50.2121,0.71466523957,0.14356112480163574,0.374908,643.4966976642609,187.701256781,5.16539305531,1.1052665710449219,152.535884225,81.7345810346,79.6622238733,1.00037,-89.1256,0.0,79.6616,0.71466523957,128,-89.5005,3.01138e+10,414.036205848,0.716324385858,8.079305648803711,79.648,0.29812579854,24.1282,64.0499609819,64.60496139526367,0.00640164,79.6633985936
