AverageQ,AverageAbsY,EnvExecTime,MaxReturn,PolicyExecTime,AbsLearnSignalNew,StdReturn,MinReturn,LossAfter,AverageDiscountedReturn,Entropy,AbsLearnSignal,AverageAbsQ,NumTrajs,ItrTime,Iteration,ProcessExecTime,LossBefore,ExplainedVariance,dLoss,MeanKL,AbsLearnSignalOld,Perplexity,AverageQLoss,Time,MeanKLBefore,AverageY,AveragePolicyStd,AverageAbsQYDiff,AverageReturn
11.6804,11.7724381715,4.962824583053589,208.942229276,0.811614990234375,0.840141513365,23.7561432785,73.0524199728,0.426296,89.0135452311,24.122,0.840141513365,11.7139,245,47.129653453826904,0,0.12418127059936523,0.506653,1.12923004281e-11,0.0803564,0.00671723,0.840242301212,2.99248e+10,15.027,47.12970757484436,0.0,11.7439006813,1.0,1.66282503848,98.5923275546
27.7711,27.7986547942,7.493703842163086,175.951474296,1.0370595455169678,0.677211087804,22.5778666099,73.6267154681,-19.6021,88.9066203181,24.1193,0.677211087804,27.7761,246,53.17149114608765,1,0.15252017974853516,-19.5015,0.653600772799,0.100594,0.0099211,0.677022382764,2.98443e+10,5.45145,100.45804286003113,0.0,27.7986547942,0.999842,1.56119493576,98.3852821085
39.8037,39.8195137531,7.544790744781494,190.822672838,1.0376906394958496,0.0510054090802,22.1862478968,71.2039391394,-35.1063,88.72079894,24.119,0.0510054090802,39.8113,246,53.27427697181702,2,0.15594267845153809,-35.0797,-312.28977853,0.0266418,0.00296401,0.0510553659994,2.98362e+10,6.71983,153.87201189994812,0.0,39.8195137531,0.999826,1.74275578375,98.172752624
47.4601,47.4765579181,7.5055251121521,262.36235893,1.0242819786071777,0.120369103463,28.0607672765,74.9965786723,-45.1277,94.4971090127,24.1244,0.120369103463,47.4651,229,53.13407373428345,3,0.15574002265930176,-45.0332,-39.2384976202,0.0945091,0.00542771,0.120937463843,2.99973e+10,8.86381,207.14711499214172,0.0,47.475494921,1.00014,2.10047248049,105.601634462
52.7403,52.7552383339,7.657689332962036,285.838304815,1.0425822734832764,0.126705023221,30.1704059437,75.4457753605,-51.7705,96.7090507292,24.1236,0.126705023221,52.7435,224,53.82416272163391,4,0.15704679489135742,-51.5229,-21.3397218046,0.247562,0.00981565,0.127716203849,2.99735e+10,12.2953,261.1107587814331,0.0,52.7552261194,1.0001,2.5539895047,108.458453245
57.0214,57.0377541854,7.574761390686035,285.082449548,1.0309410095214844,0.718569561881,37.2835125519,71.9541561469,-58.4521,104.025485595,24.1256,0.718569561881,57.0241,205,54.16841769218445,5,0.15332484245300293,-58.1863,0.554453368526,0.265747,0.00644997,0.720721037889,3.00336e+10,16.8407,315.4199187755585,0.0,57.0376517502,1.00021,3.01605451419,118.261130693
61.4068,61.4216685062,7.588337421417236,335.892223533,1.0148909091949463,0.249080560073,47.7146786049,74.3513747266,-65.1281,109.729121022,24.1254,0.249080560073,61.4097,190,52.99234747886658,6,0.1499042510986328,-64.7214,-5.45445735326,0.406662,0.00997128,0.251277589649,3.00295e+10,22.5427,368.55305004119873,0.0,61.421632384,1.00021,3.48039895426,126.509440102
66.4692,66.4848425915,7.653312921524048,444.826597928,1.0221500396728516,0.480126938417,61.3981665233,80.871010127,-73.7832,129.156690512,24.1266,0.480126938417,66.4728,159,53.37451219558716,7,0.14902019500732422,-73.4194,-0.588524008353,0.363808,0.00643737,0.484262638278,3.00642e+10,29.6121,422.06250190734863,0.0,66.4847878896,1.00027,3.95973138278,153.668638645
72.4162,72.4335343882,7.750534296035767,334.852823438,1.0263774394989014,0.45773718296,58.5161837482,74.3204080987,-78.4524,134.576232705,24.1264,0.45773718296,72.4221,150,53.23681354522705,8,0.14780879020690918,-77.9522,-0.609242944187,0.500153,0.00941488,0.46182136127,3.00592e+10,37.4841,475.43761587142944,0.0,72.433173593,1.00026,4.43213297428,161.017608514
79.3682,79.3858309673,7.834282875061035,352.358314724,1.0299503803253174,0.765201472848,63.1949590893,81.7880227946,-88.3015,140.448555509,24.1268,0.765201472848,79.3743,144,53.15494918823242,9,0.14710259437561035,-87.874,0.354455047815,0.427498,0.00644642,0.769482055229,3.00703e+10,46.5439,528.726381778717,0.0,79.3850095776,1.00029,4.90937192331,169.558932325
