MeanKL,ProcessExecTime,AbsLearnSignalOld,Perplexity,LossAfter,ItrTime,AverageQ,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,LossBefore,Time,AverageAbsY,AverageReturn,Iteration,AbsLearnSignal,AverageAbsQYDiff,MaxReturn,StdReturn,AbsLearnSignalNew,MeanKLBefore,NumTrajs,AverageQLoss,AverageAbsQ,AverageY,PolicyExecTime,AverageDiscountedReturn,Entropy,dLoss
0.00985682,0.15198969841003418,0.847348490328,2.99248e+10,-5.24054,60.05474829673767,13.2431,1.0,6.258715391159058,1.27148291895e-11,72.2062649673,-5.1488,60.05477166175842,13.3234584485,98.7435696892,0,0.847300499862,2.4866054356,196.56122972,18.556965952,0.847300499862,0.0,244,32.299,13.2578,13.3003779798,0.9465591907501221,89.2878543004,24.122,0.0917459
0.00782275,0.15547871589660645,0.546054395994,3.00965e+10,-20.4017,64.8350133895874,28.2604,1.00034,8.183397054672241,0.567306873249,70.6724754385,-20.2931,125.03444242477417,28.2895315834,100.096280878,1,0.545743038607,1.62361129659,176.956299499,20.3242998875,0.545743038607,0.0,241,5.59608,28.2658,28.2895315834,1.2047405242919922,90.3228558719,24.1277,0.108603
0.00973664,0.15729308128356934,0.555683415362,2.98526e+10,-34.6268,64.09656429290771,39.7838,0.999859,8.123841524124146,0.611714901939,75.4194261615,-34.5205,189.25332379341125,39.7997571295,98.1435014265,2,0.554452245173,1.66231219697,169.447100886,18.1995637339,0.554452245173,0.0,245,5.84001,39.7913,39.7997571295,1.1900112628936768,88.7983662949,24.1195,0.106304
0.00767947,0.15632009506225586,0.22575667602,2.96135e+10,-44.0366,64.03700184822083,46.9531,0.999387,8.097974300384521,-2.99495082823,74.63800667,-43.8133,253.40917205810547,46.9668616759,102.833915284,3,0.224472001344,1.99520738557,182.889225464,20.8270576755,0.224472001344,0.0,235,7.89818,46.9564,46.9665568119,1.1894643306732178,92.5177649388,24.1115,0.223354
0.00641889,0.15489673614501953,0.0749235339615,2.97933e+10,-49.6549,64.47109937667847,51.4858,0.999742,8.056506872177124,-1430.16169618,66.8787027558,-49.4841,318.0055651664734,51.4977584933,107.05021634,4,0.0748644682332,2.3839482302,170.939440525,23.1023422081,0.0748644682332,0.0,225,10.6783,51.4876,51.4977584933,1.1737959384918213,95.831088884,24.1175,0.170742
0.00964599,0.15587186813354492,0.130978554516,2.97596e+10,-54.5592,64.44521641731262,54.2596,0.999676,8.213701248168945,-45.0371713337,76.647195203,-54.3291,382.573068857193,54.2718403181,110.422725417,5,0.130507508673,2.67976233348,186.374104616,23.131824925,0.130507508673,0.0,220,13.2187,54.2615,54.2717702414,1.1922998428344727,98.526780923,24.1164,0.230156
0.00640766,0.1548140048980713,0.229231258907,2.97246e+10,-58.0402,64.12184238433838,56.7085,0.999607,8.178021907806396,-2.5620464638,77.5034689608,-57.83,446.8277621269226,56.7197417754,120.574018472,6,0.226623243366,2.87616334734,240.718303615,28.7576364211,0.226623243366,0.0,200,15.0967,56.7103,56.7196526167,1.1865508556365967,106.265258432,24.1152,0.210194
0.00644531,0.15559673309326172,0.488172784561,2.97043e+10,-61.6078,64.0003342628479,59.2526,0.999566,8.369766235351562,0.197350248761,76.9183681514,-61.3672,510.9521372318268,59.2646588634,125.613418831,7,0.482848367971,3.09189141764,280.608735242,34.3763929425,0.482848367971,0.0,192,17.6022,59.2549,59.2646540952,1.1896579265594482,109.833724219,24.1146,0.240566
0.00640066,0.15200018882751465,0.76246613286,2.96515e+10,-65.3841,64.5660994052887,62.3837,0.999462,8.230201721191406,0.617905602601,77.2470445117,-65.1046,575.6421258449554,62.3967056577,138.524763269,8,0.76100992536,3.31223215511,294.430177375,40.1788407743,0.76100992536,0.0,174,20.2049,62.3853,62.3967056577,1.174459457397461,119.324711887,24.1128,0.279465
0.00995658,0.15533661842346191,0.126353052048,2.96376e+10,-69.5481,64.40614771842957,66.0574,0.999434,8.510547161102295,-77.1293643197,81.9185087528,-69.1839,640.1732008457184,66.0689490501,143.743827208,9,0.125827693974,3.62573514669,331.901374039,42.6614354311,0.125827693974,0.0,167,24.3933,66.0592,66.0689393634,1.2071363925933838,123.032807159,24.1123,0.364159
