AverageReturn,AbsLearnSignalNew,AverageAbsQ,AverageY,Entropy,dLoss,AverageAbsY,Perplexity,MeanKLBefore,AverageQ,LossAfter,ItrTime,ExplainedVariance,EnvExecTime,StdReturn,Time,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageQLoss,MaxReturn,AverageAbsQYDiff,Iteration,AbsLearnSignal,MeanKL,AverageDiscountedReturn,ProcessExecTime,AveragePolicyStd,NumTrajs,LossBefore
94.9172504652,0.832772303242,10.443,10.3437447773,24.122,0.0773411,10.6911050701,2.99247e+10,0.0,10.2982,-15.1461,52.86703395843506,1.14305231946e-11,6.352231979370117,23.9155564459,52.86704111099243,71.4615220956,0.832840828157,0.9099693298339844,8.4656,242.587503926,1.66060402658,0,0.832772303242,0.00673111,85.9984097818,0.15955257415771484,1.0,253,-15.0688
92.5061621469,0.665860715042,26.0811,26.1029959669,24.1218,0.183926,26.1029959669,2.9921e+10,0.0,26.0775,-18.6541,53.714916467666626,0.657363836717,6.708810567855835,17.4739330869,106.74872517585754,70.9900008459,0.665115676479,0.9452924728393555,4.98149,164.306426228,1.55869260739,1,0.665860715042,0.00871082,84.2186353583,0.14299631118774414,0.999993,260,-18.4701
98.7310034747,0.231488825849,38.0937,38.1017749791,24.126,0.193024,38.1017869297,3.0045e+10,0.0,38.0868,-33.7605,53.59737157821655,-3.23454839161,6.568864583969116,23.6592977959,160.49051475524902,71.4086606218,0.231689241569,0.9226980209350586,6.00738,174.83842501,1.68057670849,2,0.231488825849,0.00666855,89.1030711994,0.14440441131591797,1.00024,244,-33.5675
96.6206614394,0.185468209529,45.5817,45.5876724176,24.1277,0.138859,45.5879284006,3.00973e+10,0.0,45.5771,-42.6634,53.37829065322876,-4.86534255553,6.572322130203247,23.8090120386,214.0118248462677,69.9711331482,0.186676086258,0.9368553161621094,7.83456,219.965764869,2.00006871054,3,0.185468209529,0.00966099,87.3830867181,0.14195799827575684,1.00034,249,-42.5245
101.966861622,0.480246600125,50.3511,50.3577022192,24.1216,0.232594,50.3577022192,2.99141e+10,0.0,50.3478,-49.6176,54.55772924423218,0.240476531268,6.670141220092773,24.8012842774,268.7047815322876,72.2990410453,0.483299172361,0.9441888332366943,11.2109,224.903161207,2.44711081772,4,0.480246600125,0.00998809,91.6614256524,0.14639997482299805,0.99998,235,-49.385
107.437724838,0.142805860811,53.8779,53.8861238244,24.1197,0.271317,53.8861238244,2.98566e+10,0.0,53.8748,-55.5315,53.208006620407104,-13.1706572029,6.80968976020813,27.7794593064,322.0466003417969,75.9057202954,0.14392945539,0.9739952087402344,15.1191,260.563560706,2.85225328731,5,0.142805860811,0.00997795,95.9770777705,0.1450502872467041,0.999867,224,-55.2601
114.467571629,0.61950913055,57.0489,57.0569400139,24.1191,0.320518,57.0569900673,2.98394e+10,0.0,57.0449,-59.3982,53.374743700027466,0.364046277416,6.873915195465088,30.6646894938,375.55455017089844,76.9764951946,0.625181588737,0.9734101295471191,19.1551,223.688170843,3.20652619997,6,0.61950913055,0.00998786,101.394799745,0.14751935005187988,0.999833,210,-59.0776
124.201110637,0.25681835971,60.5175,60.525441628,24.118,0.370041,60.5254962981,2.98075e+10,0.0,60.5145,-65.7684,53.68120551109314,-2.87622835247,7.009033918380737,38.5145480343,429.37102341651917,77.3412508534,0.259306240432,0.9857306480407715,22.3866,255.846163879,3.46102248831,7,0.25681835971,0.00999848,108.56555748,0.1436920166015625,0.99977,194,-65.3984
133.399474417,0.698694788737,64.0968,64.1055287684,24.1174,0.294418,64.1056272033,2.97889e+10,0.0,64.0927,-69.7612,53.664886474609375,0.448609244594,7.026743412017822,40.4575433094,483.1741716861725,75.6126798039,0.70138118225,0.9739460945129395,26.062,281.561609365,3.71972451013,8,0.698694788737,0.00642248,115.409060974,0.14450955390930176,0.999733,179,-69.4667
141.391541908,0.35773843567,68.2196,68.2252849766,24.1173,0.36129,68.2260534063,2.97849e+10,0.0,68.2131,-75.996,52.85846519470215,-1.23493942878,7.146623849868774,44.3818289653,536.1702151298523,81.5648122521,0.361128143556,0.9826815128326416,30.0585,274.337823589,3.9794517375,9,0.35773843567,0.00991503,121.122225094,0.14423322677612305,0.999725,169,-75.6347
