Iteration,AbsLearnSignalOld,dLoss,AverageAbsQ,NumTrajs,ProcessExecTime,MeanKL,AverageAbsQYDiff,ItrTime,AverageReturn,PolicyExecTime,AveragePolicyStd,Entropy,AverageY,MinReturn,Perplexity,LossBefore,AverageQLoss,MaxReturn,AbsLearnSignal,MeanKLBefore,ExplainedVariance,AverageDiscountedReturn,Time,AverageQ,StdReturn,EnvExecTime,AverageAbsY,AbsLearnSignalNew,LossAfter
0,0.747127404308,0.0527446,1.70009,5,0.08778643608093262,0.00643075,0.438247279067,36.48937106132507,-383.031696994,0.6861371994018555,1.0,8.51363,-1.61308188508,-456.445721116,4982.22,2.28222,0.333427,-337.743287447,0.747204160824,0.0,2.71073163916e-11,-18.3022260211,36.489386558532715,-1.60907,42.6867230346,1.6196069717407227,1.75091822211,0.747204160824,2.22948
1,0.757832111545,0.0690663,3.19277,5,0.09308242797851562,0.00996792,0.592257532027,36.2744779586792,-399.627982769,0.6875157356262207,1.00056,8.51696,-3.02289470531,-521.541365017,4998.84,4.03273,0.610676,-320.494918181,0.757793460703,0.0,-0.000308423813627,-20.9731701214,72.90047097206116,-3.02134,69.0237778444,1.6458449363708496,3.24047510305,0.757793460703,3.96366
2,0.772999941835,0.0671916,4.54504,5,0.09675931930541992,0.00987597,0.742763260964,36.437177896499634,-369.223508101,0.6900553703308105,1.00153,8.52276,-4.32990866787,-384.68749121,5027.93,4.82256,0.980151,-347.162496493,0.772463765842,0.0,0.384117105458,-13.9588266884,109.45245265960693,-4.32832,14.8402632809,1.6456513404846191,4.59647235952,0.772463765842,4.75537
3,0.757717005307,0.057693,5.73425,5,0.09510183334350586,0.00641294,0.840525381067,36.43133044242859,-366.094739818,0.7038469314575195,1.00168,8.52369,-5.47440110545,-465.551606606,5032.61,5.89277,1.3135,-257.485964965,0.755623979547,0.0,0.356115249595,-13.1443115539,146.0021574497223,-5.47205,67.3137397862,1.6572904586791992,5.78503839484,0.755623979547,5.83507
4,0.73058103883,0.0699444,6.81403,5,0.10241317749023438,0.00997742,0.911369039747,36.50702619552612,-371.634787335,0.7252078056335449,1.00174,8.52402,-6.56155991534,-425.850444879,5034.23,7.19908,1.59305,-305.842378773,0.730452043228,0.0,0.0178972631353,-30.1729374177,182.62253975868225,-6.55964,40.848863952,1.6914448738098145,6.86281922767,0.730452043228,7.12913
5,0.717129789355,0.084734,7.46346,5,0.08997917175292969,0.00999219,1.04244708053,36.353105545043945,-342.233906905,0.6965291500091553,1.00184,8.52461,-7.09460046682,-424.767262755,5037.23,5.79496,2.52722,-267.96654963,0.717669929762,0.0,-4.1518513982,-30.545825972,219.0867931842804,-7.09296,54.8728186057,1.6810226440429688,7.53732341585,0.717669929762,5.71023
6,0.721962056185,0.0659113,8.12895,5,0.09547877311706543,0.00994462,0.988357843457,36.672943115234375,-378.255562112,0.7185471057891846,1.00228,8.52727,-7.89469460733,-468.599801896,5050.63,8.36685,1.95596,-274.275145952,0.720972498518,0.0,0.0509325283698,-38.2454229855,255.87135577201843,-7.8935,71.314864396,1.6964716911315918,8.16849197448,0.720972498518,8.30094
7,0.752131800224,0.0742822,8.57475,5,0.09670042991638184,0.00995995,1.03257598895,36.392693281173706,-342.338065963,0.7197239398956299,1.00226,8.52716,-8.35871905665,-388.447020712,5050.09,7.56204,2.14258,-311.249401753,0.752762010691,0.0,-1.54007890036,-24.1242320194,292.38363552093506,-8.35745,25.4685974705,1.6918280124664307,8.61531875264,0.752762010691,7.48776
8,0.754397945668,0.0568848,8.98433,5,0.09494376182556152,0.0064337,1.05601440376,36.4120614528656,-282.355510556,0.7087056636810303,1.00273,8.52999,-8.75775964604,-311.260341574,5064.38,8.11401,2.24197,-244.604542653,0.753083385835,0.0,0.127109221039,-18.2682448542,328.91418409347534,-8.75562,28.6927303953,1.704590082168579,9.02566606255,0.753083385835,8.05713
9,0.624997423891,0.0736208,9.47456,5,0.09491896629333496,0.00996436,1.06940563697,36.27803659439087,-325.847571048,0.7163524627685547,1.00127,8.52119,-9.22857884985,-454.755338507,5020.0,10.269,2.39279,-258.471279089,0.62459580188,0.0,-2.03022598735,-23.3670701376,365.3065791130066,-9.22622,71.9177273881,1.7003943920135498,9.51616569826,0.62459580188,10.1954
