LossAfter,AverageAbsY,StdReturn,MinReturn,ItrTime,Entropy,AverageDiscountedReturn,Iteration,NumTrajs,dLoss,AbsLearnSignalNew,LossBefore,AbsLearnSignalOld,PolicyExecTime,MeanKL,AverageAbsQ,AverageReturn,AverageQ,AbsLearnSignal,AverageAbsQYDiff,AverageY,AveragePolicyStd,Time,EnvExecTime,MaxReturn,ProcessExecTime,ExplainedVariance,AverageQLoss,Perplexity,MeanKLBefore
1.58821,1.38100290327,83.1593656362,-536.18148824,39.7448148727417,8.51363,-53.0226882612,0,5,0.0549713,0.73486898638,1.64318,0.734737202191,0.8610560894012451,0.0064197,1.28871,-434.208396143,-1.12426,0.73486898638,0.489826320836,-1.12800284515,1.0,39.74483132362366,1.4876468181610107,-291.049744377,0.11275768280029297,2.39581687822e-11,0.412761,4982.22,0.0
2.67293,2.7169180608,84.6732941838,-481.461845215,39.7070472240448,8.5155,-41.9334774055,1,5,0.0569108,0.804538374137,2.72984,0.804505481301,0.9682230949401855,0.00640616,2.64271,-382.198134171,-2.34331,0.804538374137,0.630756006458,-2.34454530626,1.00031,79.59774589538574,1.5348525047302246,-230.677379609,0.10622859001159668,0.0704952703794,0.67228,4991.56,0.0
3.46556,3.96621707618,45.9545073767,-402.033141213,39.888503313064575,8.51232,-36.9811574872,2,5,0.0724361,0.780771813144,3.53799,0.780487412281,0.9648182392120361,0.00996209,3.88527,-330.916764211,-3.46572,0.780771813144,0.824440182161,-3.46736339355,0.999784,119.61758708953857,1.540414810180664,-257.872991214,0.12541747093200684,-0.112603241663,1.17129,4975.71,0.0
4.89275,5.09207656199,15.8972986377,-376.113669529,39.64533829689026,8.50572,-23.5318616473,3,5,0.0712657,0.74784515527,4.96402,0.748547017566,0.9735848903656006,0.00999628,5.0144,-354.512802322,-4.56793,0.74784515527,0.945813254035,-4.57011044136,0.998687,159.39506554603577,1.5655310153961182,-338.186634565,0.11723494529724121,-0.430064759402,1.5776,4942.98,0.0
6.56684,6.18131315606,67.3371546681,-531.695189878,39.43724822998047,8.50276,-50.1029444433,4,5,0.071774,0.736288066646,6.63861,0.735980242185,1.0056703090667725,0.00998181,6.10743,-435.228200469,-5.67251,0.736288066646,1.04868438636,-5.67560069115,0.998196,198.96891570091248,1.6075856685638428,-340.357149505,0.12427711486816406,0.167364621639,1.99778,4928.36,0.0
6.76171,6.99613816208,41.6229225094,-403.386250023,39.848552942276,8.50196,-15.9006005133,5,5,0.0591435,0.758189344184,6.82085,0.757989464539,0.9665722846984863,0.00647633,6.92676,-337.59180764,-6.49742,0.758189344184,1.08185723352,-6.5014027007,0.998062,238.95240116119385,1.6043674945831299,-278.681852907,0.11739706993103027,-0.372154258983,2.19045,4924.39,0.0
7.39038,7.6713340598,45.1873893181,-347.467344729,39.83087873458862,8.5038,-15.6076073643,6,5,0.0582957,0.730112707554,7.44867,0.730053664399,0.9832751750946045,0.00647688,7.6109,-289.663044392,-7.20691,0.730112707554,1.0810668366,-7.20989881036,0.998367,278.9147787094116,1.5872838497161865,-239.403314418,0.11452603340148926,0.175972620293,2.23032,4933.47,0.0
8.35915,8.31327528229,74.6836022207,-461.42284892,39.5908522605896,8.49958,-43.5868581965,7,5,0.0583706,0.720578432819,8.41752,0.720100804842,0.9562156200408936,0.0064929,8.25608,-367.9486685,-7.87549,0.720578432819,1.1063990513,-7.87886545138,0.997664,318.6361753940582,1.5852947235107422,-253.589050564,0.11433076858520508,-0.457407858642,2.3881,4912.71,0.0
8.98826,8.97976138824,82.7942310884,-562.537390323,39.76323986053467,8.49124,-28.8335884619,8,5,0.061121,0.747788317577,9.04938,0.74729718089,0.9917528629302979,0.00649563,8.92526,-406.17434451,-8.57161,0.747788317577,1.13344593616,-8.57416411841,0.996278,358.5308196544647,1.5849025249481201,-324.632642133,0.12227463722229004,0.131271053045,2.54144,4871.92,0.0
9.80553,9.59703390278,110.375317762,-459.411283108,39.63093376159668,8.4881,-19.6767114141,9,5,0.0765848,0.76961102915,9.88212,0.768465620158,0.9589600563049316,0.00985915,9.5389,-262.715855667,-9.17656,0.76961102915,1.16179072863,-9.18179274852,0.995754,398.29606556892395,1.6027045249938965,-124.610848036,0.11908531188964844,-0.754575398521,2.75298,4856.62,0.0
