AverageDiscountedReturn,PolicyExecTime,Perplexity,AveragePolicyStd,AbsLearnSignalNew,NumTrajs,AverageQLoss,AverageY,AverageAbsQYDiff,dLoss,AbsLearnSignalOld,ProcessExecTime,ItrTime,Entropy,EnvExecTime,MaxReturn,AverageAbsY,ExplainedVariance,AverageReturn,LossAfter,AverageQ,MinReturn,Time,StdReturn,AverageAbsQ,MeanKLBefore,AbsLearnSignal,LossBefore,Iteration,MeanKL
-51.1791578932,0.6939079761505127,4982.22,1.0,0.70124484648,5,0.373694,-0.316775164249,0.460216695984,0.0545389,0.701221997717,0.08319830894470215,36.461256980895996,8.51363,1.6493639945983887,-262.247228421,1.00850871867,2.85427237401e-11,-342.272746572,0.906203,-0.317057,-457.2896889,36.46126437187195,68.9340745821,0.891973,0.0,0.70124484648,0.960742,0,0.00642302
-34.1999975689,0.7045083045959473,5006.39,1.00081,0.746549055878,5,0.780474,-1.39220236908,0.630264579597,0.0661705,0.747167981242,0.0853281021118164,36.19757103919983,8.51847,1.6416051387786865,-267.186563689,1.87808963969,-0.136406915873,-318.548513063,1.8278,-1.38991,-384.764486149,72.80920314788818,44.675665279,1.75298,0.0,0.746549055878,1.89397,1,0.00993249
-47.0281624757,0.6954281330108643,4951.37,0.998968,0.691590888028,5,0.829922,-2.5041936417,0.68936618407,0.0533977,0.690747549148,0.08539128303527832,36.48578715324402,8.50742,1.6374866962432861,-355.106279449,2.97356934834,0.0712868675296,-383.95829228,3.12828,-2.50335,-442.813810791,109.42850756645203,31.2618871464,2.9014,0.0,0.691590888028,3.18167,2,0.00642543
-38.8967103454,0.7117385864257812,4936.79,0.998478,0.75666836396,5,1.1616,-3.68139069304,0.800728240887,0.0669737,0.756784484465,0.08798599243164062,36.3187530040741,8.50447,1.6290614604949951,-238.92549488,4.17286444011,0.00598493190511,-370.404113886,4.15554,-3.67958,-475.214002186,145.8509566783905,79.5375623693,4.10364,0.0,0.75666836396,4.22252,3,0.00998607
-32.9944220157,0.7222034931182861,4942.75,0.99868,0.74309052291,5,1.43468,-4.68757946936,0.877994497997,0.0721812,0.743608459362,0.0900571346282959,36.53193283081055,8.50568,1.649728536605835,-256.638028235,5.19419079502,-0.141255107753,-311.265276708,4.76733,-4.68503,-353.68036116,182.50590229034424,36.2662180746,5.12549,0.0,0.74309052291,4.83951,4,0.00994528
-30.3420712243,0.7141726016998291,4944.02,0.998729,0.69604170986,5,1.56603,-5.55343912137,0.907451189663,0.0547862,0.69491468757,0.08927488327026367,36.4831428527832,8.50593,1.6618983745574951,-240.816357669,6.04690362303,0.285134702011,-302.050420867,5.73899,-5.55108,-383.231511569,219.11487865447998,51.4195479018,5.98443,0.0,0.69604170986,5.79378,5,0.00641755
-28.1520514279,0.7266976833343506,4936.27,0.998467,0.738371187915,5,1.78674,-6.20270800812,0.955293398635,0.0563231,0.73908810057,0.0918738842010498,36.59774303436279,8.50436,1.6704111099243164,-201.424897417,6.69582604064,-0.284054147273,-275.419801093,6.08442,-6.19984,-341.2508349,255.84431743621826,46.9461153523,6.63291,0.0,0.738371187915,6.14075,6,0.00640773
-12.2953964927,0.7407586574554443,4891.16,0.996936,0.762132531744,5,1.87846,-6.68215346317,0.976430138245,0.0698199,0.763801375833,0.09430909156799316,36.46737861633301,8.49518,1.6693382263183594,-234.238212509,7.19218295827,0.117375624847,-267.848217982,6.44276,-6.68074,-310.529392284,292.42315554618835,30.1414111175,7.12961,0.0,0.762132531744,6.51258,7,0.00996236
-9.0249005088,0.7342140674591064,4882.41,0.996639,0.665822789527,5,1.99491,-7.07115429394,0.997202935719,0.0664597,0.667149741441,0.09101080894470215,36.4648323059082,8.49339,1.6757440567016602,-139.771007745,7.64533572789,0.123713034831,-234.194087469,6.34439,-7.06971,-327.918381611,328.9968547821045,63.3608931968,7.58287,0.0,0.665822789527,6.41085,8,0.00997378
-22.8969777606,0.7288575172424316,4889.56,0.996883,0.714175028951,5,2.11371,-7.4771285946,1.01926054427,0.0564146,0.714725631365,0.09225034713745117,36.290701150894165,8.49486,1.6824605464935303,-223.285235589,8.06528910949,0.0521277952884,-291.808960189,7.20363,-7.4752,-354.864890971,365.4076704978943,43.4585129422,8.00071,0.0,0.714175028951,7.26004,9,0.00640823
