AveragePolicyStd,AverageAbsQYDiff,EnvExecTime,AverageAbsQ,AverageReturn,MinReturn,PolicyExecTime,LossAfter,StdReturn,AbsLearnSignalOld,AverageDiscountedReturn,AverageQ,AverageY,dLoss,MaxReturn,Entropy,AverageAbsY,NumTrajs,Iteration,MeanKL,ItrTime,Time,AbsLearnSignal,MeanKLBefore,Perplexity,ExplainedVariance,LossBefore,AverageQLoss,AbsLearnSignalNew,ProcessExecTime
1.0,1.93020515028,5.8353424072265625,9.23919,103.91170302,75.3774076481,1.0959208011627197,-18.4139,31.9752601834,0.833629286746,92.8643316532,8.76213,8.81198303938,0.0778503,220.341262495,24.122,9.56667774088,230,0,0.00653985,51.22135877609253,51.22138071060181,0.833712169213,0.0,2.99248e+10,8.75877148587e-12,-18.336,17.5369,0.833712169213,0.1606755256652832
0.999892,1.62868722156,7.302604675292969,26.346,102.824721439,74.2780161879,1.0770235061645508,-33.9014,33.198020292,0.105557093203,91.9380523284,26.3415,26.3689935802,0.0419312,270.584719871,24.1201,26.3689935802,232,1,0.00438904,53.91119027137756,105.27355003356934,0.105595229463,0.0,2.987e+10,-74.3962009939,-33.8595,5.75613,0.105595229463,0.14929842948913574
0.999784,1.97568141622,7.281147480010986,39.4951,103.094700562,71.0946437538,1.0815701484680176,-44.7164,31.9512589768,0.577801695203,92.251637157,39.4798,39.4960926727,0.133217,220.964933824,24.1183,39.4960926727,233,2,0.00927379,54.37499475479126,159.772705078125,0.577848516911,0.0,2.98152e+10,0.291873931247,-44.5831,8.60991,0.577848516911,0.1510915756225586
0.999747,2.42445449047,7.328402519226074,48.5478,110.582860488,74.5594408215,1.0856788158416748,-53.2253,36.4741317992,0.125769758659,97.9993182937,48.5346,48.5510251465,0.708569,233.846253165,24.1176,48.5516399617,217,3,0.00876346,54.15653944015503,214.05534768104553,0.125675561062,0.0,2.97958e+10,-136.792214364,-52.5167,12.0654,0.125675561062,0.15330719947814941
0.999826,3.02681228311,7.42111349105835,54.5368,120.040242148,76.3516528218,1.1150586605072021,-60.7044,43.0591759527,0.128473529057,105.010303521,54.5271,54.5428763798,0.268784,279.754476391,24.119,54.5433713356,201,4,0.00940447,54.366411447525024,268.5491244792938,0.128217196065,0.0,2.98363e+10,-40.1495358923,-60.4356,17.5019,0.128217196065,0.15200543403625488
0.999897,3.71668590351,7.451689958572388,59.5081,133.456205944,71.4931028957,1.0871171951293945,-67.9142,53.0900267341,0.145627556856,114.55339101,59.5005,59.5183755643,0.33197,369.937806056,24.1202,59.5197194654,180,5,0.0098562,54.31377363204956,322.98676323890686,0.144993985395,0.0,2.98721e+10,-58.651161249,-67.5822,25.9826,0.144993985395,0.15001916885375977
0.999903,4.28210688072,7.540193796157837,63.9931,136.086472852,72.6949928483,1.108699083328247,-71.166,53.7568787642,0.740116896676,116.661438579,63.9841,64.0007872465,0.321129,330.049273693,24.1203,64.0010815562,178,6,0.00640556,54.50138592720032,377.6096658706665,0.737701701135,0.0,2.98753e+10,0.358674218264,-70.8448,34.16,0.737701701135,0.15133976936340332
0.999915,4.76023803628,7.5650718212127686,68.5774,149.635795945,77.3806853815,1.0985593795776367,-79.3476,53.7288859663,0.627180991577,126.853988909,68.5657,68.5832765883,0.347725,287.832382716,24.1205,68.5846606621,163,7,0.00643526,54.56727600097656,432.3023476600647,0.624716231548,0.0,2.98812e+10,0.113257641548,-78.9999,42.5201,0.624716231548,0.14893293380737305
0.999853,5.07042938227,7.650024175643921,73.9587,157.032525506,77.5482695681,1.1122162342071533,-85.7646,59.1710801136,0.743607881394,131.694207076,73.9487,73.9655323544,0.335556,295.176048077,24.1194,73.9657894325,155,8,0.00641353,54.82105302810669,487.2468509674072,0.740435430497,0.0,2.98499e+10,0.383420937425,-85.4291,48.1704,0.740435430497,0.1509230136871338
0.999867,5.34220441646,7.718527555465698,79.9039,179.256805766,81.6051158121,1.1144325733184814,-93.1854,60.3273816067,0.596159331979,147.377282245,79.894,79.9095968986,0.370064,344.931489833,24.1197,79.9099555867,136,9,0.00999405,55.208794593811035,542.5837874412537,0.594666230699,0.0,2.98571e+10,0.238262302139,-92.8154,54.5665,0.594666230699,0.14934420585632324
0.999881,5.54062441163,7.848762512207031,86.1742,186.11542408,76.6156602976,1.1383824348449707,-100.482,62.9475890852,0.681514671145,151.920695263,86.1612,86.1762119536,0.390068,373.105731119,24.1199,86.1780233968,133,10,0.00989344,56.86460256576538,599.5733256340027,0.68098995451,0.0,2.9864e+10,0.31676948068,-100.091,60.1225,0.68098995451,0.15081048011779785
0.999869,5.70545385207,7.833669900894165,92.4382,202.448167301,78.2522792412,1.1146202087402344,-107.091,57.5940872139,0.619017493362,163.499258311,92.42,92.4374388145,0.296593,321.110546434,24.1197,92.4415080202,122,11,0.00987887,56.555933237075806,656.2595992088318,0.619338110359,0.0,2.98577e+10,0.309569608445,-106.795,65.8211,0.619338110359,0.14770078659057617
0.999841,5.80155418552,7.9626946449279785,98.1886,214.537276733,86.9975596571,1.140138864517212,-115.384,63.1453087616,0.744753999174,171.074980595,98.1734,98.18942026,0.234528,385.069734369,24.1192,98.1939823791,116,12,0.00649817,57.09452414512634,713.4826641082764,0.744948690385,0.0,2.98435e+10,0.541806799996,-115.149,69.1603,0.744948690385,0.14622020721435547
0.999901,5.84708490599,8.030303478240967,103.137,215.302661553,84.2234066994,1.1569788455963135,-119.124,60.7074663139,0.633947314673,172.103373266,103.123,103.13872209,0.267502,350.516683285,24.1203,103.141448354,117,13,0.00982075,56.92058849334717,770.5361144542694,0.63554088348,0.0,2.9874e+10,0.338553708216,-118.857,70.4976,0.63554088348,0.1463909149169922
0.999892,5.84908320711,8.128175020217896,107.597,226.10049413,81.9607553171,1.181602954864502,-121.76,61.6571290532,0.687029318256,179.032185295,107.582,107.596784866,0.246803,438.96452398,24.1201,107.60012584,112,14,0.00995591,56.492469787597656,827.155359506607,0.689363259878,0.0,2.98695e+10,0.633020888873,-121.514,71.6829,0.689363259878,0.14727377891540527
0.999844,5.84048857213,8.34088397026062,111.449,239.794417795,109.164520265,1.1935551166534424,-123.677,60.1253765253,0.212789846349,187.713602306,111.435,111.452084435,0.316956,473.916327053,24.1193,111.45512968,105,15,0.00942764,55.96718454360962,883.2485270500183,0.213195125794,0.0,2.98448e+10,-4.4096160648,-123.36,71.7165,0.213195125794,0.15111994743347168
0.9998,5.80779504523,7.956282615661621,115.109,241.557875902,92.4289474307,1.1595888137817383,-130.354,52.5116906319,0.625909702669,189.224695753,115.093,115.112205638,0.241364,426.322445376,24.1185,115.115251042,105,16,0.00993118,54.55014491081238,937.9216408729553,0.62866891665,0.0,2.98229e+10,0.397084744353,-130.113,72.1861,0.62866891665,0.14389514923095703
0.999749,5.71668881576,7.953911066055298,118.13,252.464831113,98.2447697411,1.132089376449585,-129.991,61.5838766985,0.654745652416,195.395637513,118.114,118.129748125,0.216156,435.929819431,24.1177,118.13281869,101,17,0.00993909,54.394256591796875,992.4389164447784,0.654661801232,0.0,2.97966e+10,0.464545541529,-129.775,69.8157,0.654661801232,0.1409132480621338
0.999746,5.71983863251,7.972919940948486,121.05,266.186267377,96.2407247308,1.1385900974273682,-138.401,70.5447020064,0.673968766035,202.679227385,121.036,121.054474537,0.244797,510.512108257,24.1176,121.057468914,95,18,0.00992004,54.922515869140625,1047.496179819107,0.67390202909,0.0,2.97953e+10,0.381064139393,-138.156,69.7577,0.67390202909,0.14225244522094727
0.999732,5.68781723738,8.164713144302368,123.749,272.542272918,102.580193374,1.1518218517303467,-134.926,59.3863369576,0.696264014049,207.2104923,123.73,123.748136802,0.212997,485.202631453,24.1174,123.751886816,93,19,0.00949913,55.04566740989685,1102.6678199768066,0.697014342906,0.0,2.97881e+10,0.577181488085,-134.713,69.6921,0.697014342906,0.14233899116516113
0.999551,5.65709450721,7.980309963226318,126.43,285.56720545,110.283378421,1.1410927772521973,-138.375,63.6223078405,0.526798117929,214.546397509,126.414,126.431409729,0.229218,515.411293456,24.1143,126.433138065,89,20,0.00997528,55.467222452163696,1158.2629957199097,0.527649318458,0.0,2.96963e+10,0.167610747535,-138.146,68.6226,0.527649318458,0.14084482192993164
0.999507,5.69393161013,8.21609091758728,129.566,294.154155445,85.7689433206,1.1482789516448975,-146.416,69.005954987,0.274927534229,219.260879712,129.548,129.564603431,0.232895,509.673131136,24.1136,129.568153692,87,21,0.00986514,55.02184200286865,1213.4079275131226,0.27551876999,0.0,2.96744e+10,-1.55463308498,-146.183,69.7631,0.27551876999,0.1414945125579834
0.999588,5.68553486014,8.152210712432861,132.44,301.446628982,137.526121372,1.1464223861694336,-145.87,60.5146158289,0.22703003097,223.485462903,132.424,132.438894059,0.237778,433.08431865,24.1149,132.441071258,84,22,0.00922819,55.18871712684631,1268.7185881137848,0.227203757065,0.0,2.97153e+10,-3.26588507639,-145.632,69.7891,0.227203757065,0.1414930820465088
0.999572,5.78897063672,8.204687595367432,135.6,305.408215515,92.3929996628,1.1306428909301758,-145.688,66.763708589,0.193704647781,225.731698749,135.584,135.600818852,0.252426,571.230105005,24.1147,135.601882372,84,23,0.00938863,55.029550313949585,1323.8717555999756,0.194174853118,0.0,2.97072e+10,-8.87781514681,-145.435,72.2455,0.194174853118,0.14026737213134766
0.999597,5.89679426078,8.142090320587158,139.172,299.861817393,216.263549784,1.111943244934082,-149.708,53.0476503468,0.259146818676,223.432736112,139.157,139.173245102,0.231155,430.856155694,24.1151,139.174814052,86,24,0.00991044,54.99969172477722,1378.995787858963,0.260550693291,0.0,2.97196e+10,-1.75192687169,-149.477,75.5733,0.260550693291,0.13867568969726562
0.999671,5.99063289548,8.184772491455078,141.904,288.244503109,95.5993314824,1.119199514389038,-151.518,55.3918914936,0.284827050863,216.891978758,141.889,141.907440682,0.227692,475.70088425,24.1163,141.908285924,90,25,0.00998018,54.79986119270325,1433.9242131710052,0.28704760495,0.0,2.97567e+10,-0.163694858049,-151.291,77.666,0.28704760495,0.1393895149230957
0.999713,6.04467839929,8.129151582717896,145.218,309.874636918,190.53553573,1.0964748859405518,-155.105,55.265656552,0.251039269707,228.83412061,145.204,145.220083984,0.216736,512.468802884,24.1171,145.220784163,83,26,0.00934743,55.16369581222534,1489.2092599868774,0.252547953526,0.0,2.97784e+10,-1.48772064799,-154.888,79.2825,0.252547953526,0.13999462127685547
0.9997,6.1460826675,8.268081426620483,148.495,298.020862406,162.785599476,1.1146438121795654,-157.17,55.2017870562,0.250192878841,222.553309162,148.48,148.498031935,0.156189,514.902756378,24.1168,148.4993769,87,27,0.00640176,54.875088691711426,1544.210357427597,0.251429011938,0.0,2.9772e+10,-1.27777118532,-157.014,82.4584,0.251429011938,0.13973426818847656
0.999644,6.1903950026,8.417365312576294,151.048,296.101680047,117.003198857,1.1116960048675537,-153.03,52.4330616024,0.390244821766,221.912832977,151.032,151.047577149,0.19841,486.345353068,24.1159,151.050803291,88,28,0.00955584,55.62870764732361,1599.9644412994385,0.391569656333,0.0,2.97435e+10,0.326804340576,-152.831,83.9439,0.391569656333,0.14203166961669922
