AverageAbsY,ProcessExecTime,Entropy,AbsLearnSignalNew,Iteration,AverageQ,ExplainedVariance,LossBefore,MaxReturn,StdReturn,Perplexity,AverageAbsQ,LossAfter,ItrTime,AbsLearnSignal,AverageAbsQYDiff,AverageY,AverageQLoss,MeanKLBefore,dLoss,Time,EnvExecTime,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,MeanKL,AveragePolicyStd
11.6114988023,0.15137624740600586,24.122,0.834008937063,0,11.3198,5.6492588385e-12,-19.9714,297.944704983,46.328867452,2.99248e+10,11.4478,-20.0469,53.983028411865234,0.834008937063,1.60864507498,11.3740185357,9.06242,0.0,0.0755329,53.98313617706299,6.704193830490112,73.3422708027,0.834076050095,0.9814414978027344,108.503451641,124.933617198,190,0.0064809,1.0
27.946137055,0.14025664329528809,24.1249,0.57403782922,1,27.923,-0.0530338844477,-35.2879,268.11975071,40.6674083221,3.0012e+10,27.9286,-35.3967,54.0519962310791,0.57403782922,1.6821414576,27.946137055,6.00258,0.0,0.108856,108.18375325202942,6.900354862213135,74.4351525085,0.573977545591,1.0015738010406494,105.989534643,121.240018308,196,0.00975516,1.00017
41.9251433263,0.14461445808410645,24.1239,0.654563689378,2,41.91,0.199241048753,-48.939,362.33671653,55.2391755481,2.99826e+10,41.9289,-49.0764,54.21601891517639,0.654563689378,2.11011153726,41.9250894766,9.67522,0.0,0.137386,162.53080105781555,6.965451717376709,76.4220190174,0.654521414572,1.007765769958496,118.256315821,138.663803121,171,0.00990975,1.00011
52.4488237229,0.14107227325439453,24.1213,0.637258316931,3,52.4336,0.216526099384,-57.2386,337.162121365,51.7892925601,2.99047e+10,52.4558,-57.426,54.47624468803406,0.637258316931,2.67975359947,52.4473418807,14.9719,0.0,0.187397,217.1381480693817,6.96195650100708,77.0044840936,0.637954136123,0.9994990825653076,116.45326262,135.933735206,175,0.00997203,0.999961
60.7239941531,0.1439204216003418,24.1216,0.738552664631,4,60.7064,0.253410020278,-65.252,357.166303735,56.2275573249,2.99135e+10,60.7296,-65.4624,54.41912484169006,0.738552664631,3.40269638926,60.7216133906,21.9764,0.0,0.210434,271.6818928718567,7.11454963684082,72.6273007813,0.739773653774,1.0139904022216797,125.684364591,148.809621726,160,0.00648685,0.999978
67.7770555895,0.14087963104248047,24.1219,0.319943388593,5,67.7614,-2.39341828369,-73.5042,327.553995246,62.4518262874,2.99237e+10,67.7804,-73.7962,53.87707781791687,0.319943388593,4.13090875363,67.7765097638,31.87,0.0,0.291946,325.6875536441803,7.024630546569824,77.0875663714,0.321125684227,0.9984219074249268,132.031770233,158.238772309,151,0.00947126,0.999998
74.2183306736,0.14501142501831055,24.1219,0.642842181067,6,74.2039,-0.0636351192757,-80.8851,393.992795977,66.5191858167,2.99223e+10,74.2207,-81.1525,54.55227303504944,0.642842181067,4.5899867574,74.2178250248,39.2214,0.0,0.267433,380.37626481056213,7.275615453720093,81.3405664048,0.643660880397,1.0493569374084473,139.413717557,169.033377675,141,0.00642056,0.999995
80.9882730623,0.14257526397705078,24.1206,0.751824948026,7,80.9742,0.262374026813,-88.3545,439.74746438,67.3996294735,2.98854e+10,80.9893,-88.7053,54.499178409576416,0.751824948026,5.03783482937,80.9873250188,47.4832,0.0,0.350845,435.00056195259094,7.368656635284424,81.3764627482,0.753497768585,1.042510986328125,149.214142651,183.306438637,130,0.00999564,0.999923
87.5762213408,0.1441190242767334,24.1202,0.585813203902,8,87.5623,-0.13388922028,-96.6877,544.861356277,80.1887937522,2.98712e+10,87.5797,-97.0546,54.89308404922485,0.585813203902,5.37088724348,87.5751905352,54.2793,0.0,0.366875,490.025639295578,7.433474063873291,77.2880680668,0.586858298095,1.0644440650939941,162.422806301,204.572500862,118,0.00997955,0.999895
94.4461430131,0.14390969276428223,24.1219,0.731769292955,9,94.4308,0.0908416079677,-110.574,455.53665771,82.9074015907,2.99228e+10,94.4476,-110.955,54.66052556037903,0.731769292955,5.6418997779,94.4441525539,61.0125,0.0,0.380203,544.8136813640594,7.564310550689697,81.6751111727,0.731881080249,1.0781445503234863,180.692991106,233.7107596,103,0.00999359,0.999997
101.315390071,0.14622044563293457,24.1222,0.508778415646,10,101.299,-0.931710677442,-115.038,487.896907617,91.8895388386,2.99325e+10,101.314,-115.329,55.806167125701904,0.508778415646,5.95184707875,101.313220219,67.8678,0.0,0.291809,600.7510359287262,7.8253679275512695,81.8280154436,0.509388229182,1.1023492813110352,183.002888909,238.801168399,102,0.00641591,1.00002
108.619769931,0.14592528343200684,24.1219,0.725074983353,11,108.603,0.116580827901,-126.45,541.309270451,92.7367233842,2.99236e+10,108.618,-126.735,56.11496138572693,0.725074983353,6.22026071686,108.617937202,74.3904,0.0,0.285316,656.9947662353516,7.99436092376709,84.3765105672,0.726304127193,1.1212048530578613,192.189018243,253.440753042,97,0.00643154,0.999998
115.598356093,0.14763975143432617,24.122,0.246062325703,12,115.578,-9.69586609575,-132.948,465.8888901,83.5810167672,2.99248e+10,115.595,-133.241,56.30810189247131,0.246062325703,6.48844426308,115.594934416,81.3325,0.0,0.293274,713.4345734119415,7.978686571121216,82.2233356606,0.246296958027,1.1143629550933838,193.308002117,253.74330578,97,0.00642699,1.0
