MinReturn,PolicyExecTime,AverageQLoss,AbsLearnSignalOld,AverageDiscountedReturn,ProcessExecTime,LossAfter,AverageQ,AbsLearnSignalNew,StdReturn,NumTrajs,AverageY,ExplainedVariance,AverageAbsQ,Perplexity,LossBefore,Entropy,EnvExecTime,AveragePolicyStd,dLoss,Iteration,MaxReturn,AverageAbsQYDiff,Time,MeanKL,AverageAbsY,ItrTime,AverageReturn,MeanKLBefore,AbsLearnSignal
71.8095540035,0.9701988697052002,20.4239,0.836151413469,97.6229278989,0.13439702987670898,-18.4374,9.72025,0.836337657393,33.3165692982,215,9.77031965233,8.11617439922e-12,10.3597,2.99248e+10,-18.3302,24.122,5.66603422164917,1.0,0.107267,0,263.559473015,2.22150638877,50.395263671875,0.00998029,10.8297680943,50.39524483680725,110.015417478,0.0,0.836337657393
71.6224665934,1.0255155563354492,6.57143,0.125183589829,97.4027916651,0.14418363571166992,-34.0103,26.6264,0.125286036374,36.5989095428,217,26.653007706,-102.573947824,26.6322,2.99744e+10,-33.8161,24.1236,7.364485025405884,1.0001,0.194149,1,273.267694514,1.77765896902,102.99947595596313,0.00799442,26.6530469439,52.46732807159424,109.912308843,0.0,0.125286036374
72.0965558557,1.0396614074707031,8.74193,0.140733134704,99.7247085257,0.14421892166137695,-45.3301,39.8826,0.140726788272,38.0508421737,210,39.9006663905,-53.157914466,39.8988,3.00406e+10,-45.1992,24.1258,7.510576963424683,1.00023,0.130901,2,277.6129637,2.02456500053,157.24316024780273,0.00615511,39.9008192331,54.11991739273071,112.995625919,0.0,0.140726788272
72.329818998,1.0366511344909668,11.6644,0.207456819207,104.938339926,0.14791154861450195,-53.5289,49.0786,0.207141219265,39.7076330194,199,49.0916616446,-11.3868152928,49.0944,3.00838e+10,-53.3211,24.1273,7.454863786697388,1.00031,0.207798,3,255.047581604,2.40149475583,210.83090353012085,0.00894996,49.0931136764,53.464926958084106,119.759517536,0.0,0.207141219265
72.4254648037,1.028193712234497,16.9227,0.500256928491,111.634753373,0.14373469352722168,-61.4662,55.99,0.498168245042,47.4998155198,185,56.0016288004,-0.294882986826,56.0008,3.00574e+10,-61.1759,24.1264,7.521009206771851,1.00026,0.290375,4,310.843934799,2.97528285556,264.69317626953125,0.00874158,56.0028781057,53.74006795883179,129.08748297,0.0,0.498168245042
76.4693868983,1.057598352432251,22.9477,0.105815254245,118.63023128,0.14508748054504395,-67.2002,61.7632,0.105552025237,50.7402687007,173,61.7743566651,-110.439459552,61.7721,3.00361e+10,-66.9116,24.1257,7.7507994174957275,1.00022,0.288567,5,349.419247673,3.5260556116,318.50323128700256,0.0064065,61.7745824815,53.69030046463013,138.679096719,0.0,0.105552025237
77.1508755516,1.0445082187652588,29.174,0.161317027258,125.831430623,0.14131784439086914,-74.2895,66.7283,0.160245438925,58.3854094139,159,66.7411647474,-35.3129943912,66.7384,3.00127e+10,-73.9556,24.1249,7.581981420516968,1.00017,0.333832,6,421.016509759,3.99531554339,372.0574543476105,0.00644577,66.7417092487,53.4325795173645,149.342165897,0.0,0.160245438925
81.3092422375,1.039783000946045,35.8551,0.698320294501,138.666970617,0.14299273490905762,-84.0208,72.3274,0.696178494985,66.5759373354,142,72.3422361052,0.222303026089,72.3371,3.00139e+10,-83.6768,24.1249,7.6580023765563965,1.00018,0.344032,7,412.457194406,4.41192060608,425.50510716438293,0.00647658,72.3428174917,53.32160520553589,168.090581949,0.0,0.696178494985
76.6856836334,1.0434513092041016,42.799,0.678671935266,150.567726796,0.14224529266357422,-90.3042,78.2323,0.67628585272,70.5712342272,129,78.246493675,0.0875862972976,78.2414,2.99681e+10,-89.9276,24.1234,7.772295951843262,1.00009,0.376648,8,410.716130461,4.82039849147,479.5125799179077,0.00643085,78.2468459325,53.88509511947632,185.731958894,0.0,0.67628585272
77.14689005,1.0399725437164307,52.3665,0.246820004079,160.540170073,0.1385354995727539,-98.8873,84.6734,0.246156993712,86.1297603532,117,84.6890373576,-15.9215584735,84.6888,2.99589e+10,-98.4022,24.1231,7.7638585567474365,1.00007,0.485085,9,428.137220162,5.23041641047,532.9013924598694,0.00984581,84.6907135654,53.26416325569153,203.268632333,0.0,0.246156993712
74.886046588,1.023705244064331,59.8867,0.133113560958,169.985880592,0.13766098022460938,-109.343,92.0117,0.132488973394,95.3404247267,109,92.0275835801,-31.532443935,92.0285,2.99453e+10,-108.899,24.1226,7.792959451675415,1.00004,0.444717,10,541.692393479,5.63223164364,586.8695530891418,0.00883501,92.0289099105,53.84582829475403,219.179654294,0.0,0.132488973394
81.8320982072,1.0642948150634766,68.1421,0.613694087102,177.31213071,0.14025545120239258,-117.345,99.8803,0.612078330651,88.0113972823,105,99.895990907,-0.614658797363,99.8999,2.99541e+10,-116.963,24.1229,7.9916160106658936,1.00006,0.382034,11,421.741349477,5.92517658431,640.9963581562042,0.00641522,99.9008366616,54.00037622451782,229.397961238,0.0,0.612078330651
82.0711215971,1.056309461593628,76.8779,0.391589326697,200.690512603,0.1384894847869873,-127.413,108.502,0.391963800789,97.5051146002,89,108.51690111,-2.38807915961,108.519,2.99699e+10,-126.937,24.1235,8.066943645477295,1.00009,0.47596,12,707.324980298,6.28259031832,694.5664851665497,0.00998074,108.520127061,53.4473295211792,270.402807787,0.0,0.391963800789
