AveragePolicyStd,LossAfter,ProcessExecTime,AbsLearnSignal,NumTrajs,AbsLearnSignalNew,PolicyExecTime,EnvExecTime,AverageQ,Time,ExplainedVariance,AverageAbsQYDiff,MeanKL,MinReturn,ItrTime,dLoss,Entropy,Perplexity,LossBefore,AverageY,MeanKLBefore,AbsLearnSignalOld,AverageAbsY,AverageAbsQ,StdReturn,MaxReturn,AverageReturn,Iteration,AverageQLoss,AverageDiscountedReturn
1.0,-20.0536,0.162872314453125,0.831186851653,196,0.831186851653,1.0205910205841064,6.319021224975586,10.7836,52.48090076446533,5.942357717e-12,1.85729760863,0.00642521,75.8669239976,52.48088622093201,0.0787735,24.122,2.99248e+10,-19.9749,10.8374805629,0.0,0.831143548475,11.4139395869,11.0525,43.8579804592,331.205525172,121.597483179,0,12.8564,106.10784588
1.0001,-35.9239,0.14238810539245605,0.543779419937,201,0.543779419937,1.0041894912719727,7.054922580718994,28.3404,106.4285945892334,-0.136502912701,1.71522159478,0.0092822,75.1488013412,53.806910037994385,0.24614,24.1237,2.99781e+10,-35.6777,28.3651924192,0.0,0.54408710642,28.3651924192,28.3467,41.4398078068,321.28797375,118.213073652,1,6.42802,103.610530208
1.00045,-48.9656,0.14997434616088867,0.546822187308,190,0.546822187308,1.0342116355895996,7.237116575241089,42.3794,160.96939826011658,-0.262628021776,2.13744239304,0.00870594,75.7592024498,54.41827726364136,0.140118,24.1296,3.01533e+10,-48.8255,42.3949783042,0.0,0.547064250258,42.3952083141,42.4021,48.2627946672,347.186683065,125.024780225,2,10.106,108.417208234
1.00053,-58.5096,0.14756202697753906,0.512177847078,176,0.512177847078,1.0553264617919922,7.350398778915405,52.9919,215.76529836654663,-0.518764822251,2.68898677396,0.00642924,74.7587387271,54.673473596572876,0.196705,24.1309,3.01938e+10,-58.3129,53.0029222969,0.0,0.513146279821,53.0042507442,53.0188,56.6100531178,393.633240795,136.551964063,3,14.9689,116.5400155
1.00047,-69.4813,0.15046310424804688,0.725244968834,161,0.725244968834,1.03877592086792,7.344268798828125,61.5957,271.1737496852875,0.109840906674,3.39007507622,0.00646192,76.3612145942,55.28818345069885,0.276199,24.13,3.01663e+10,-69.2051,61.6077080292,0.0,0.726157372256,61.6079135216,61.6137,65.0563033152,328.203382255,148.551762417,4,22.172,124.790847726
1.0005,-78.4456,0.1458275318145752,0.442365474223,143,0.442365474223,1.0359547138214111,7.4345409870147705,69.7669,325.36504650115967,-1.69394267636,4.15397094139,0.00999864,74.3971691046,54.07085299491882,0.44326,24.1304,3.01797e+10,-78.0023,69.7804161548,0.0,0.443796558771,69.781004805,69.7902,63.2147736467,400.092554412,167.094617136,5,32.6629,138.294876652
1.00052,-86.6385,0.14887380599975586,0.698980931884,130,0.698980931884,1.0468218326568604,7.562934637069702,77.2904,379.6985158920288,0.0111088814067,4.81634895213,0.00642851,77.0945194761,54.21007227897644,0.335724,24.1309,3.01924e+10,-86.3028,77.3065264638,0.0,0.699342287593,77.3083898785,77.3143,79.6476019791,531.56866379,184.253707467,6,44.8183,148.677262331
1.00045,-95.7681,0.14452147483825684,0.333256388946,120,0.333256388946,1.0423765182495117,7.5223228931427,85.1845,433.3493947982788,-3.52585328651,5.25967214848,0.00641459,77.1917485013,53.52686333656311,0.375015,24.1296,3.01552e+10,-95.3931,85.2014372285,0.0,0.335538461318,85.2051881742,85.2105,76.2631813504,486.026507901,200.175260178,7,52.5487,159.749084647
1.00046,-105.322,0.14633893966674805,0.658910181249,107,0.658910181249,1.0603663921356201,7.746741056442261,93.1428,488.09625697135925,-0.094675182099,5.7479681273,0.00643143,82.5244351332,54.62638068199158,0.339211,24.1297,3.0158e+10,-104.982,93.1638738998,0.0,0.659439811346,93.1671636435,93.1728,80.9931286693,437.515863666,228.749989521,8,63.9242,177.713795672
1.00045,-112.266,0.14127755165100098,0.356161559673,98,0.356161559673,1.035465955734253,7.547074794769287,101.318,541.745893239975,-2.43224495127,6.06405300137,0.00641525,87.0960720475,53.52507567405701,0.312691,24.1295,3.0152e+10,-111.953,101.338224639,0.0,0.355590577018,101.340877309,101.349,93.6412451167,687.904760856,245.377011607,9,72.9567,186.596053825
