AverageReturn,Perplexity,AverageY,AverageDiscountedReturn,NumTrajs,MaxReturn,ItrTime,ProcessExecTime,Time,LossAfter,LossBefore,StdReturn,ExplainedVariance,AveragePolicyStd,AverageQ,AverageAbsY,AverageQLoss,MinReturn,MeanKLBefore,MeanKL,AbsLearnSignalNew,dLoss,EnvExecTime,AbsLearnSignal,PolicyExecTime,AverageAbsQYDiff,Iteration,AbsLearnSignalOld,AverageAbsQ,Entropy
100.729466871,2.99248e+10,13.0444142411,90.7978664615,239,172.411023816,53.714982748031616,0.1725304126739502,53.714999198913574,-19.8844,-19.7853,20.900788161,1.19048104708e-11,1.0,12.9783,13.0723752323,31.0756,71.4116743468,0.0,0.00983092,0.846290091783,0.0990772,7.196765661239624,0.846290091783,1.0502464771270752,2.39467967949,0,0.846280493178,12.9966,24.122
98.1657382989,2.99364e+10,27.9893167506,88.8483064978,246,158.075459826,54.004868268966675,0.14945459365844727,107.86312007904053,-34.6104,-34.5232,17.5690648662,-146.146145018,1.00002,27.9611,27.9893167506,5.53217,75.5828476552,0.0,0.00892508,0.0642090810222,0.0871925,7.258193492889404,0.0642090810222,1.0785729885101318,1.59726997505,1,0.0641958995779,27.9668,24.1223
101.025046646,2.98586e+10,40.2147081775,91.0775599913,238,170.887412482,54.542903423309326,0.1589968204498291,162.5246982574463,-43.9968,-43.8481,19.7465622589,0.749575769929,0.999871,40.1981,40.2149152631,6.58564,70.1120020774,0.0,0.00969927,0.658522590994,0.148701,7.540149450302124,0.658522590994,1.0925180912017822,1.73682830123,2,0.658889559579,40.2067,24.1197
104.5991225,2.97894e+10,47.5952092345,93.9316518249,232,191.933312599,54.0342857837677,0.15761542320251465,216.68262791633606,-50.5482,-50.3146,21.8143199706,-2.71514511327,0.999734,47.581,47.5955111757,8.19959,76.3080656008,0.0,0.00951458,0.23771515309,0.233662,7.370836973190308,0.23771515309,1.0979900360107422,2.02378591176,3,0.238960885515,47.5852,24.1174
112.240293491,2.98221e+10,52.3026150187,99.939607489,215,179.842688506,54.90257716178894,0.15753817558288574,271.7105972766876,-56.0471,-55.808,23.7434846264,-3.86528203006,0.999799,52.2907,52.3026539532,11.1737,74.9919033106,0.0,0.0098913,0.212895961758,0.239185,7.402562141418457,0.212895961758,1.0760471820831299,2.43117557355,4,0.214263748063,52.2933,24.1185
115.157602897,2.97948e+10,55.3848428435,101.97585146,209,216.452386944,54.31964135169983,0.15496563911437988,326.1491823196411,-59.9988,-59.7014,29.0131429303,-90.6605657139,0.999745,55.374,55.3848442613,13.8637,77.1919886911,0.0,0.00993896,0.140818404439,0.297359,7.525044679641724,0.140818404439,1.0818085670471191,2.73952857068,5,0.141001669002,55.3764,24.1176
129.456600102,2.97869e+10,58.3001493332,112.832257842,185,288.707224755,53.60164713859558,0.1584169864654541,379.87343645095825,-64.7024,-64.3762,32.9532764251,-0.448338163101,0.999729,58.2883,58.3006820102,16.3793,80.0246056016,0.0,0.00997509,0.379295110262,0.326202,7.619595289230347,0.379295110262,1.0949416160583496,2.98029439637,6,0.382878404785,58.2917,24.1173
143.061339534,2.98072e+10,61.628024769,122.521733446,168,305.802731869,53.369410276412964,0.1516263484954834,433.3628239631653,-68.7926,-68.4182,44.1123975203,0.462922532143,0.99977,61.6153,61.628138858,19.4453,81.4124920918,0.0,0.00999299,0.676852570497,0.374443,7.435262203216553,0.676852570497,1.0627350807189941,3.24939283409,7,0.678259173153,61.6183,24.118
159.234509004,2.97787e+10,65.4785157884,133.504970985,152,534.660895153,54.44596290588379,0.15436077117919922,487.9354751110077,-74.6619,-74.3071,55.8318342999,0.422755511356,0.999714,65.4663,65.4786382337,23.777,81.7549967413,0.0,0.00640497,0.722927535588,0.354889,7.767823219299316,0.722927535588,1.10532546043396,3.59800007801,8,0.72416430749,65.4695,24.1171
165.466381386,2.97726e+10,70.0089923805,136.944764708,145,442.730751214,53.125727891922,0.1487741470336914,541.1740140914917,-81.3519,-80.9304,66.8244946483,-0.0254118979951,0.999702,69.9967,70.0090226057,30.233,81.8406023948,0.0,0.00639946,0.627065668498,0.421471,7.48107647895813,0.627065668498,1.057464838027954,4.01902130909,9,0.631029498223,70.0016,24.1169
181.221698439,2.97413e+10,75.6907580224,147.63125371,134,458.699902716,54.79969310760498,0.14914822578430176,596.0975828170776,-90.1371,-89.6278,72.9275224596,-112.483864292,0.99964,75.6779,75.6909849943,38.1213,81.6907571585,0.0,0.00976448,0.103311669018,0.509254,7.707314729690552,0.103311669018,1.0921802520751953,4.50027975331,10,0.103708445771,75.6837,24.1158
