Iteration,AverageReturn
0,-98.7603
1,-64.1744
2,-62.1879
3,-43.3976
4,-73.9672
5,-98.9406
6,-94.6764
7,-70.8819
8,-78.024
9,-84.8016
10,-59.3215
11,-53.3818
12,-60.6615
13,-96.6512
14,-58.7593
15,-54.0558
16,-63.6512
17,-54.7811
18,-67.9249
19,-42.9311
20,-76.5546
21,-69.0685
22,-44.3488
23,-40.3021
24,-43.0899
25,-54.9806
26,-30.0915
27,-29.2579
28,-41.3535
29,-51.0649
30,-31.6694
31,-39.4744
32,-45.7584
33,-52.1812
34,-38.1396
35,-36.4468
36,-28.5012
37,-64.7477
38,-31.6921
39,-48.9273
40,-37.0009
41,-45.4561
42,-19.7723
43,-35.4077
44,-25.6221
45,-22.5126
46,-29.3717
47,-21.7036
48,-23.2574
49,-81.659
50,-21.2724
51,-27.9081
52,-24.1375
53,-19.3746
54,-40.7464
55,-24.538
56,-40.7487
57,-16.2512
58,-34.9535
59,-15.477
60,-17.5342
61,-25.8687
62,-14.3378
63,-12.2048
64,-15.1625
65,-17.0284
66,-31.1595
67,-20.2116
68,-23.0011
69,-14.2283
70,-13.4683
71,-12.8131
72,-24.0299
73,-13.6426
74,-14.1104
75,-27.7869
76,-26.3471
77,-12.6721
78,-19.7616
79,-34.3122
80,-15.0288
81,-12.518
82,-19.9455
83,-14.3968
84,-19.0839
85,-15.7191
86,-18.247
87,-17.647
88,-26.5448
89,-13.2632
90,-11.4451
91,-20.6054
92,-11.4541
93,-21.0458
94,-12.1701
95,-11.856
96,-20.7924
97,-13.5408
98,-14.191
99,-19.823
100,-12.0928
101,-32.5683
102,-22.6451
103,-18.5193
104,-13.5541
105,-17.0168
106,-19.1746
107,-10.9034
108,-9.3726
109,-10.3222
110,-11.581
111,-10.0098
112,-14.0446
113,-10.4392
114,-16.4477
115,-15.1034
116,-15.1395
117,-19.698
118,-21.4123
119,-22.4664
120,-16.2038
121,-10.4094
122,-26.1843
123,-12.0966
124,-18.3166
125,-15.0145
126,-15.0101
127,-16.8413
128,-13.0693
129,-12.549
130,-13.8378
131,-24.4524
132,-10.4009
133,-12.2279
134,-7.55194
135,-11.1612
136,-27.6592
137,-9.61307
138,-9.63443
139,-10.2952
140,-16.3826
141,-9.86486
142,-17.4887
143,-20.3154
144,-14.2069
145,-13.6629
146,-12.296
147,-7.36387
148,-14.8587
149,-38.7947
150,-5.88348
151,-10.7655
152,-8.64361
153,-10.3241
154,-23.3174
155,-15.4116
156,-5.01294
157,-26.633
158,-14.5097
159,-12.0296
160,-11.841
161,-20.9601
162,-24.0347
163,-24.5313
164,-6.56824
165,-17.4287
166,-18.3369
167,-12.5385
168,-7.63805
169,-17.5013
170,-13.9367
171,-3.68927
172,-9.57912
173,-74.7873
174,-10.8293
175,-11.8139
176,-11.9504
177,-38.1188
178,-18.0013
179,-45.1148
180,-5.43028
181,-8.73526
182,-9.01684
183,-4.89105
184,-8.98677
185,-7.35762
186,-7.72731
187,-9.98454
188,-8.33314
189,-25.7462
190,-11.6076
191,-6.61774
192,-41.2565
193,-9.79438
194,-19.7826
195,-16.4178
196,-10.7194
197,-29.4925
198,-18.3115
199,-4.54027
200,-31.8869
201,-9.272
202,-35.4363
203,-12.8129
204,-16.1121
205,-25.5711
206,-33.8095
207,-12.9482
208,-11.1543
209,-8.82771
210,-26.6892
211,-10.4959
212,-16.0991
213,-10.7802
214,-9.86507
215,-12.1876
216,-5.50507
217,-11.0801
218,-16.5439
219,-25.6068
220,-11.3142
221,-33.9139
222,-26.3465
223,-20.7666
224,-7.82002
225,-12.6657
226,-24.156
227,-13.568
228,-28.0852
229,-45.008
230,-8.21292
231,-15.2197
232,-21.5766
233,-18.2574
234,-10.5662
235,-25.6974
236,-15.7562
237,-34.3478
238,-3.52561
239,-2.41003
240,-7.088
241,-10.2904
242,-7.89374
243,-31.144
244,-19.6775
245,-26.5462
246,-17.4829
247,-15.4768
248,-6.90685
249,-8.55421
250,-14.7584
251,-0.591434
252,-2.97531
253,-31.4223
254,-50.5629
255,-7.26085
256,-15.7487
257,-16.1593
258,-10.8146
259,-1.55817
260,-5.53325
261,-4.28692
262,-17.0111
263,-12.8165
264,8.20377
265,-13.8523
266,-23.1712
267,-10.9051
268,-39.7267
269,-23.5748
270,2.92859
271,-1.31214
272,-18.2458
273,-2.67136
274,-25.7507
275,-13.3407
276,-3.26517
277,9.7267
278,-4.86231
279,-17.2923
280,4.67181
281,13.1552
282,-24.0246
283,4.8445
284,-10.497
285,5.92029
286,-0.865191
287,13.1954
288,1.31354
289,6.15108
290,15.3913
291,6.54687
292,0.245214
293,28.5581
294,11.8311
295,14.8897
296,23.0612
297,12.8668
298,35.4222
299,31.2452
300,33.7208
301,20.5546
302,10.7934
303,35.7858
304,38.6021
305,42.9402
306,34.9123
307,27.0968
308,64.8424
309,59.5425
310,67.2239
311,63.1051
312,63.5377
313,60.2857
314,140.66
315,55.5028
316,82.5013
317,60.464
318,99.4654
319,59.6283
320,98.8183
321,91.2301
322,101.692
323,96.4481
324,92.7055
325,130.124
326,142.037
327,120.909
328,177.969
329,159.85
330,97.9553
331,200.184
332,100.801
333,158.565
334,160.158
335,216.178
336,188.338
337,175.293
338,181.381
339,208.964
340,259.598
341,260.433
342,208.65
343,246.819
344,194.779
345,251.124
346,245.944
347,303.11
348,220.366
349,304.876
350,306.319
351,240.266
352,327.442
353,307.765
354,328.144
355,287.398
356,278.373
357,238.896
358,352.421
359,397.486
360,371.032
361,349.038
362,333.173
363,396.575
364,393.153
365,363.794
366,432.963
367,435.136
368,431.719
369,452.384
370,360.201
371,391.266
372,412.112
373,449.814
374,505.664
375,459.291
376,557.213
377,537.748
378,457.503
379,526.055
380,563.64
381,574.363
382,566.023
383,475.446
384,411.372
385,617.994
386,714.093
387,678.521
388,578.112
389,727.564
390,754.189
391,635.269
392,654.839
393,635.714
394,715.434
395,730.077
396,463.673
397,625.212
398,783.351
399,834.874
400,635.973
401,622.851
402,711.486
403,615.372
404,739.455
405,778.26
406,763.682
407,550.152
408,702.387
409,683.846
410,790.427
411,778.879
412,766.897
413,789.555
414,766.649
415,665.72
416,902.597
417,764.446
418,889.346
419,648.34
420,858.185
421,1063.78
422,730.779
423,941.643
424,958.26
425,820.673
426,776.599
427,834.895
428,721.427
429,667.114
430,850.024
431,973.241
432,771.281
433,1009.55
434,560.295
435,827.137
436,900.994
437,635.871
438,687.178
439,1087.92
440,985.853
441,1105.62
442,710.624
443,627.515
444,643.185
445,704.311
446,1111.46
447,1029.09
448,742.512
449,826.532
450,726.299
451,726.214
452,1172.45
453,630.751
454,1037.06
455,961.43
456,819.416
457,932.984
458,664.131
459,1034.11
460,792.446
461,619.683
462,804.565
463,1118.57
464,719.56
465,859.023
466,628.089
467,1153.54
468,899.976
469,660.794
470,1052.27
471,777.806
472,702.398
473,975.498
474,956.23
475,842.054
476,979.798
477,638.562
478,1002.96
479,996.703
480,954.613
481,552.59
482,647.904
483,697.311
484,690.039
485,793.262
486,993.761
487,778.998
488,648.269
489,768.721
490,863.115
491,828.204
492,997.03
493,992.98
494,971.737
495,1356.19
496,913.942
497,888.68
498,600.955
499,932.292
500,1128.36
501,748.467
502,1125.32
503,696.348
504,939.701
505,768.973
506,887.429
507,816.372
508,687.717
509,864.659
510,746.73
511,865.961
512,1077.39
513,566.106
514,1125.62
515,779.188
516,965.1
517,1021.36
518,1146.4
519,774.402
520,807.92
521,1125.35
522,1045.58
523,1176.46
524,1229.73
525,791.312
526,1188.7
527,943.106
528,1280.03
529,1231.86
530,946.128
531,1085.46
532,959.767
533,1187.76
534,492.361
535,798.039
536,1492.23
537,1171.13
538,1353.94
539,964.316
540,1181.49
541,1106.22
542,1175.26
543,1097.4
544,935.417
545,780.666
546,996.643
547,1207.52
548,1268.23
549,1406.66
550,1258.35
551,785.817
552,1040.87
553,1750.77
554,1047.35
555,1264.92
556,1025.71
557,973.69
558,1061.96
559,1449.82
560,1376.95
561,1293.09
562,1099.62
563,638.538
564,903.252
565,531.333
566,1267.79
567,1077.8
568,931.772
569,1238.5
570,1110.19
571,1060.65
572,901.73
573,1414.1
574,1325.86
575,1011.35
576,1064.46
577,490.089
578,1289.0
579,970.229
580,1476.89
581,1196.21
582,1683.79
583,1394.77
584,849.407
585,1158.86
586,1657.89
587,1307.65
588,1083.13
589,1561.18
590,1408.83
591,1075.46
592,1074.69
593,1193.4
594,1103.83
595,1480.87
596,1407.01
597,1339.24
598,1211.1
599,1645.23
600,1458.78
601,1174.21
602,1915.99
603,1524.07
604,966.603
605,1689.85
606,784.736
607,1498.28
608,1261.01
609,1316.65
610,1102.32
611,1281.3
612,1285.65
613,1118.27
614,974.709
615,1203.99
616,1753.81
617,1861.16
618,1069.21
619,1316.41
620,870.228
621,1428.31
622,1484.67
623,1196.9
624,1772.63
625,1635.1
626,1168.46
627,1375.88
628,1553.44
629,1591.56
630,1251.33
631,656.807
632,898.108
633,1804.69
634,1010.06
635,1292.38
636,1454.95
637,1521.67
