Iteration,AverageReturn
0,20.254
1,19.5155
2,26.883
3,34.4384
4,60.6667
5,102.694
6,148.706
7,164.032
8,193.808
9,191.815
10,197.808
11,198.192
12,199.269
13,196.654
14,199.615
15,197.192
16,200.0
17,199.808
18,180.036
19,200.0
20,200.0
21,196.808
22,196.923
23,192.731
24,199.615
25,198.154
26,187.259
27,192.692
28,198.692
29,200.0
30,200.0
31,198.615
32,198.538
33,199.731
34,199.308
35,197.808
36,200.0
37,200.0
38,200.0
39,182.393
40,185.778
41,194.462
42,200.0
43,200.0
44,200.0
45,198.462
46,194.231
47,197.923
48,196.846
49,200.0
50,200.0
51,196.538
52,195.192
53,200.0
54,199.192
55,200.0
56,199.615
57,198.808
58,198.808
59,200.0
60,198.385
61,198.192
62,198.962
63,200.0
64,199.038
65,194.778
66,199.038
67,200.0
68,194.846
69,196.385
70,198.577
71,197.038
72,198.115
73,198.769
74,197.538
75,197.731
76,199.346
77,198.423
78,200.0
79,196.808
80,197.846
81,199.615
82,197.846
83,199.077
84,199.346
85,199.269
86,198.077
87,198.143
88,199.385
89,197.577
90,197.308
91,196.846
92,198.346
93,198.192
94,198.115
95,198.5
96,198.308
97,199.423
98,197.423
99,199.077
100,199.231
101,200.0
102,198.731
103,199.423
104,200.0
105,200.0
106,198.808
107,198.538
108,198.269
109,197.692
110,199.5
111,200.0
112,199.692
113,200.0
114,199.346
115,199.731
116,199.538
117,199.407
118,199.462
119,200.0
120,200.0
121,200.0
122,200.0
123,200.0
124,200.0
125,200.0
126,200.0
127,200.0
128,200.0
129,200.0
130,200.0
131,200.0
132,200.0
133,200.0
134,200.0
135,200.0
136,200.0
137,200.0
138,200.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,200.0
145,200.0
146,200.0
147,200.0
148,200.0
149,200.0
150,200.0
151,200.0
152,200.0
153,200.0
154,200.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
160,183.929
161,199.0
162,200.0
163,200.0
164,199.692
165,200.0
166,200.0
167,200.0
168,170.1
169,199.308
170,199.654
171,200.0
172,200.0
173,200.0
174,200.0
175,196.346
176,200.0
177,200.0
178,194.154
179,200.0
180,200.0
181,200.0
182,200.0
183,178.448
184,200.0
185,200.0
186,200.0
187,200.0
188,185.0
189,196.346
190,200.0
191,200.0
192,200.0
193,197.808
194,200.0
195,198.346
196,199.269
197,196.038
198,199.346
199,196.731
200,199.231
201,199.885
202,197.154
203,194.654
204,199.115
205,197.962
206,199.538
207,198.615
208,197.0
209,197.962
210,198.962
211,197.769
212,199.692
213,200.0
214,193.654
215,195.731
216,198.423
217,200.0
218,200.0
219,198.231
220,199.731
221,199.346
222,196.038
223,194.5
224,200.0
225,200.0
226,199.192
227,200.0
228,190.222
229,195.222
230,199.654
231,199.462
232,198.231
233,198.692
234,197.885
235,196.885
236,193.5
237,195.846
238,197.5
239,200.0
240,200.0
241,199.231
242,198.462
243,198.962
244,199.615
245,199.385
246,191.741
247,197.962
248,199.5
249,199.269
250,197.5
251,197.704
252,199.462
253,199.923
254,198.231
255,198.038
256,197.538
257,200.0
258,199.538
259,198.231
260,198.423
261,200.0
262,199.038
263,193.885
264,198.846
265,197.385
266,198.769
267,200.0
268,193.5
269,199.231
270,199.462
271,200.0
272,197.231
273,198.5
274,199.077
275,198.962
276,195.846
277,200.0
278,200.0
279,200.0
280,200.0
281,197.154
282,197.154
283,195.654
284,200.0
285,199.077
286,200.0
287,200.0
288,199.231
289,192.074
290,197.846
291,200.0
292,200.0
293,196.115
294,197.692
295,200.0
296,200.0
297,198.259
298,200.0
299,197.654
300,197.885
301,200.0
302,200.0
303,200.0
304,197.308
305,200.0
306,194.346
307,199.154
308,200.0
309,199.077
310,198.846
311,195.808
312,200.0
313,200.0
314,198.154
315,195.885
316,200.0
317,200.0
318,200.0
319,194.923
320,198.538
321,199.423
322,198.731
323,198.615
324,197.192
325,140.083
326,181.964
327,199.538
328,198.769
329,199.731
330,197.038
331,198.077
332,199.154
333,197.643
334,198.962
335,196.846
336,197.231
337,197.962
338,200.0
339,199.481
340,197.154
341,180.036
342,199.308
343,199.308
344,196.731
345,198.192
346,199.577
347,198.269
348,199.192
349,199.577
350,199.077
351,200.0
352,194.538
353,195.769
354,200.0
355,199.808
356,200.0
357,189.889
358,197.154
359,198.423
360,200.0
361,198.731
362,199.615
363,199.538
364,197.423
365,200.0
366,185.429
367,199.769
368,200.0
369,176.897
370,200.0
371,200.0
372,199.577
373,192.407
374,198.462
375,198.615
376,200.0
377,199.731
378,196.692
379,197.0
380,198.462
381,175.517
382,197.731
383,199.115
384,197.538
385,198.769
386,198.962
387,196.962
388,198.538
389,198.885
390,196.654
391,189.519
392,198.346
393,199.423
394,197.423
395,198.615
396,198.846
397,197.577
398,197.808
399,198.269
400,199.269
401,197.462
402,195.077
403,197.192
404,200.0
405,196.846
406,199.0
407,200.0
408,198.462
409,196.423
410,199.077
411,197.808
412,198.308
413,188.0
414,198.0
415,198.577
416,198.077
417,176.172
418,193.692
419,199.5
420,200.0
421,199.654
422,192.111
423,198.231
424,200.0
425,200.0
426,199.077
427,192.731
428,198.577
429,199.615
430,200.0
431,197.577
432,195.654
433,199.962
434,199.308
435,197.5
436,200.0
437,200.0
438,195.538
439,196.346
440,198.962
441,200.0
442,199.077
443,200.0
444,199.308
445,194.231
446,195.731
447,200.0
448,200.0
449,194.769
450,196.192
451,200.0
452,197.654
453,200.0
454,200.0
455,195.462
456,198.115
457,200.0
458,198.962
459,168.367
460,198.654
461,199.038
462,198.769
463,197.808
464,196.885
465,200.0
466,199.154
467,200.0
468,191.926
469,198.923
470,199.038
471,199.462
472,199.308
473,198.962
474,196.346
475,197.962
476,198.923
477,200.0
478,197.385
479,196.731
480,195.962
481,200.0
482,191.185
483,200.0
484,198.538
485,199.769
486,199.923
487,197.269
488,199.462
489,199.423
490,198.308
491,196.808
492,198.385
493,200.0
494,199.962
495,198.962
496,197.654
497,200.0
498,199.692
499,197.462
500,197.269
501,197.038
502,198.846
503,198.192
504,200.0
505,195.577
506,185.259
507,196.692
508,196.385
509,198.615
510,200.0
511,196.346
512,195.846
513,190.481
514,196.962
515,199.0
516,198.615
517,197.846
518,198.962
519,199.346
520,200.0
521,198.538
522,196.885
523,200.0
524,199.769
525,197.115
526,197.0
527,200.0
528,199.462
529,197.308
530,199.615
531,195.346
532,199.385
533,200.0
534,198.846
535,198.731
536,198.346
537,192.259
538,198.846
539,198.192
540,199.231
541,200.0
542,196.808
543,197.885
544,199.5
545,199.846
546,200.0
547,199.154
548,196.538
549,200.0
550,199.769
551,199.0
552,197.5
553,199.538
554,199.154
555,194.192
556,198.423
557,198.154
558,197.731
559,197.423
560,200.0
561,199.962
562,199.385
563,198.577
564,195.308
565,199.654
566,197.154
567,199.346
568,200.0
569,200.0
570,199.0
571,196.308
572,199.154
573,200.0
574,198.923
575,198.231
576,197.615
577,195.077
578,199.615
579,200.0
580,198.846
581,199.5
582,186.815
583,200.0
584,199.615
585,198.556
586,196.538
587,197.192
588,198.462
589,198.115
590,199.654
591,198.0
592,200.0
593,195.846
594,199.192
595,198.923
596,200.0
597,200.0
598,193.192
599,196.769
600,200.0
601,200.0
602,196.885
603,198.192
604,199.615
605,200.0
606,191.667
607,197.885
608,198.308
609,199.462
610,199.077
611,199.5
612,193.615
613,198.885
614,200.0
615,199.5
616,199.115
617,199.154
618,200.0
619,193.423
620,199.231
621,199.462
622,198.885
623,188.074
624,200.0
625,199.846
626,200.0
627,194.423
628,198.231
629,200.0
630,198.308
631,200.0
632,200.0
633,198.308
634,200.0
635,175.414
636,199.115
637,200.0
638,200.0
639,196.923
640,200.0
641,199.192
642,192.222
643,196.885
644,199.231
645,200.0
646,194.154
647,197.769
648,200.0
649,200.0
650,198.538
651,198.962
652,200.0
653,196.231
654,197.192
655,198.077
656,200.0
657,200.0
658,199.577
659,197.077
660,194.769
661,200.0
662,198.962
663,198.885
664,185.333
665,184.036
666,196.769
667,200.0
668,199.5
669,199.5
670,200.0
671,199.269
672,200.0
673,198.731
674,198.615
675,186.963
676,200.0
677,199.0
678,198.821
679,200.0
680,172.931
681,199.923
682,199.692
683,200.0
684,200.0
685,196.231
686,197.923
687,197.423
688,188.704
689,199.423
690,198.962
691,198.846
692,199.962
693,200.0
694,198.846
695,198.5
696,195.308
697,200.0
698,190.37
699,200.0
700,199.846
701,200.0
702,199.269
703,200.0
704,198.692
705,199.615
706,198.308
707,198.5
708,192.962
709,198.0
710,199.577
711,199.538
712,198.538
713,199.462
714,199.63
715,195.808
716,198.269
717,195.556
718,199.808
719,199.538
720,197.346
721,183.929
722,200.0
723,200.0
724,196.192
725,200.0
726,200.0
727,198.462
728,200.0
729,197.808
730,200.0
731,198.462
732,199.731
733,199.615
734,198.615
735,199.038
736,199.808
737,200.0
738,193.038
739,194.923
740,199.269
741,198.385
742,198.5
743,200.0
744,200.0
745,200.0
746,188.037
747,198.192
748,194.923
749,200.0
750,199.885
751,197.654
752,200.0
753,200.0
754,198.115
755,200.0
756,199.154
757,198.5
758,199.385
759,199.077
760,200.0
761,200.0
762,158.094
763,195.885
764,192.296
765,197.192
766,200.0
767,200.0
768,198.269
769,198.667
770,199.423
771,198.769
772,198.308
773,200.0
774,200.0
775,200.0
776,193.385
777,198.654
778,199.308
779,199.462
780,198.038
781,200.0
782,199.577
783,198.615
784,197.923
785,198.885
786,200.0
787,199.808
788,197.692
789,194.346
790,194.346
791,199.077
792,197.423
793,199.808
794,200.0
795,199.852
796,197.423
797,199.269
798,199.077
799,199.269
800,199.154
801,198.731
802,200.0
803,200.0
804,196.538
805,195.731
806,198.192
807,197.962
808,197.654
809,197.115
810,200.0
811,200.0
812,197.115
813,198.654
814,200.0
815,200.0
816,199.654
817,199.231
818,200.0
819,191.926
820,197.885
821,200.0
822,199.5
823,200.0
824,196.423
825,196.154
826,197.923
827,200.0
828,200.0
829,197.038
830,198.5
831,197.5
832,200.0
833,199.154
834,198.192
835,197.808
836,197.115
837,200.0
838,200.0
839,200.0
840,198.654
841,200.0
842,200.0
843,196.769
844,200.0
845,199.346
846,198.846
847,197.808
848,199.692
849,200.0
850,200.0
851,191.852
852,195.731
853,197.077
854,196.192
855,200.0
856,200.0
857,200.0
858,193.808
859,199.538
860,199.808
861,198.538
862,196.885
863,197.667
864,200.0
865,192.692
866,198.192
867,200.0
868,200.0
869,198.192
870,199.385
871,200.0
872,198.808
873,200.0
874,192.037
875,198.5
876,199.423
877,199.192
878,195.846
879,196.115
880,200.0
881,198.731
882,200.0
883,200.0
884,199.192
885,199.519
886,185.296
887,199.731
888,200.0
889,198.154
890,197.115
891,200.0
892,198.385
893,196.654
894,196.692
895,200.0
896,200.0
897,195.077
898,199.923
899,199.038
900,198.269
901,200.0
902,193.846
903,200.0
904,200.0
905,196.962
906,199.731
907,200.0
908,197.423
909,198.962
910,195.462
911,188.148
912,200.0
913,200.0
914,198.731
915,200.0
916,200.0
917,193.692
918,200.0
919,200.0
920,198.538
921,198.963
922,197.846
923,200.0
924,188.704
925,200.0
926,200.0
927,200.0
928,198.808
929,200.0
930,197.615
931,199.692
932,196.808
933,200.0
934,200.0
935,200.0
936,197.615
937,198.037
938,200.0
939,200.0
940,198.885
941,199.577
942,195.692
943,198.769
944,199.808
945,199.538
946,198.077
947,198.0
948,196.462
949,200.0
950,199.269
951,196.923
952,194.731
953,197.538
954,200.0
955,200.0
956,200.0
957,200.0
958,200.0
959,195.577
960,198.923
961,197.192
962,198.615
963,195.846
964,192.654
965,200.0
966,200.0
967,200.0
968,200.0
969,198.692
970,197.885
971,200.0
972,200.0
973,194.308
974,200.0
975,198.923
976,198.885
977,199.808
978,198.615
979,195.038
980,200.0
981,199.462
982,196.115
983,197.885
984,200.0
985,198.731
986,200.0
987,194.654
988,196.346
989,200.0
990,200.0
991,200.0
992,195.192
993,197.115
994,197.231
995,200.0
996,199.038
997,199.846
998,200.0
999,200.0
1000,198.269
1001,199.038
1002,199.346
1003,199.231
1004,197.692
1005,198.731
1006,199.385
1007,198.192
1008,198.615
1009,199.462
1010,200.0
1011,198.769
1012,196.808
1013,199.5
1014,200.0
1015,199.154
1016,199.077
1017,199.269
1018,199.692
1019,198.885
1020,198.808
1021,198.538
1022,199.538
1023,199.0
1024,200.0
1025,198.269
1026,198.269
1027,198.846
1028,197.154
1029,199.077
1030,200.0
1031,198.577
1032,198.462
1033,200.0
1034,199.731
1035,199.154
1036,199.038
1037,199.154
1038,197.038
1039,199.269
1040,200.0
1041,200.0
1042,198.5
1043,192.885
1044,200.0
1045,197.269
1046,200.0
1047,200.0
1048,199.615
1049,196.615
1050,198.5
1051,200.0
1052,199.538
1053,199.885
1054,198.577
1055,200.0
1056,194.077
1057,197.692
1058,197.154
1059,200.0
1060,200.0
1061,199.231
1062,200.0
1063,200.0
1064,193.038
1065,195.423
1066,200.0
1067,198.5
1068,197.154
1069,200.0
1070,200.0
1071,199.231
1072,199.192
1073,198.923
1074,200.0
1075,200.0
1076,194.692
1077,198.885
1078,198.538
1079,200.0
1080,200.0
1081,197.654
1082,200.0
1083,198.731
1084,200.0
1085,200.0
1086,193.5
1087,198.192
1088,200.0
1089,199.038
1090,199.192
1091,200.0
1092,198.423
1093,200.0
1094,200.0
1095,195.0
1096,200.0
1097,200.0
1098,198.038
1099,200.0
1100,199.577
1101,200.0
1102,191.556
1103,195.692
1104,199.923
1105,200.0
1106,197.0
1107,200.0
1108,198.462
1109,200.0
1110,183.536
1111,199.385
1112,200.0
1113,200.0
1114,199.308
1115,200.0
1116,167.433
1117,200.0
1118,199.692
1119,200.0
1120,198.346
1121,200.0
1122,195.385
1123,200.0
1124,200.0
1125,197.885
1126,199.846
1127,199.346
1128,155.606
1129,200.0
1130,200.0
1131,196.615
1132,200.0
1133,200.0
1134,198.538
1135,200.0
1136,198.615
1137,200.0
1138,199.846
1139,197.462
1140,198.538
1141,200.0
1142,200.0
1143,161.094
1144,200.0
1145,200.0
1146,197.346
1147,197.577
1148,199.192
1149,200.0
1150,200.0
1151,192.885
1152,200.0
1153,200.0
1154,197.962
1155,199.308
1156,200.0
1157,197.923
1158,198.692
1159,200.0
1160,197.231
1161,200.0
1162,200.0
1163,192.462
1164,200.0
1165,200.0
1166,199.462
1167,198.654
1168,187.259
1169,199.923
1170,199.038
1171,197.577
1172,198.778
1173,200.0
1174,199.846
1175,188.667
1176,198.346
1177,200.0
1178,200.0
1179,198.923
1180,199.231
1181,193.808
1182,192.462
1183,197.577
1184,195.731
1185,200.0
1186,200.0
1187,200.0
1188,200.0
1189,197.462
1190,199.654
1191,200.0
1192,143.171
1193,198.885
1194,199.692
1195,198.5
1196,200.0
1197,142.194
1198,186.815
1199,200.0
1200,200.0
1201,200.0
1202,195.154
1203,200.0
1204,200.0
1205,197.654
1206,200.0
1207,200.0
1208,199.731
1209,200.0
1210,198.0
1211,200.0
1212,200.0
1213,182.276
1214,198.231
1215,200.0
1216,200.0
1217,195.269
1218,200.0
1219,200.0
1220,200.0
1221,180.5
1222,200.0
1223,200.0
1224,199.731
1225,189.148
1226,196.231
1227,199.778
1228,200.0
1229,200.0
1230,196.154
1231,199.231
1232,200.0
1233,196.769
1234,199.077
1235,197.885
1236,200.0
1237,200.0
1238,200.0
1239,188.071
1240,200.0
1241,200.0
1242,194.192
1243,200.0
1244,200.0
1245,199.615
1246,200.0
1247,200.0
1248,199.346
1249,196.269
1250,196.346
1251,200.0
1252,199.385
1253,197.038
1254,200.0
1255,200.0
1256,198.5
1257,196.077
1258,200.0
1259,200.0
1260,200.0
1261,195.0
1262,193.538
1263,199.038
1264,199.962
1265,198.577
1266,198.423
1267,200.0
1268,200.0
1269,197.577
1270,200.0
1271,200.0
1272,198.615
1273,200.0
1274,200.0
1275,200.0
