Iteration,AverageReturn
0,-463.144
1,-454.956
2,-411.85
3,-412.004
4,-352.608
5,-365.487
6,-268.643
7,-341.686
8,-336.442
9,-354.589
10,-351.574
11,-348.278
12,-299.042
13,-312.159
14,-307.678
15,-311.126
16,-312.827
17,-288.837
18,-329.87
19,-312.581
20,-320.637
21,-276.722
22,-266.303
23,-275.944
24,-222.151
25,-257.848
26,-261.59
27,-239.049
28,-316.657
29,-227.377
30,-240.504
31,-228.246
32,-197.861
33,-213.359
34,-196.982
35,-228.652
36,-207.828
37,-172.401
38,-191.927
39,-172.208
40,-190.549
41,-161.489
42,-187.271
43,-142.55
44,-134.462
45,-92.0616
46,-161.433
47,-165.662
48,-100.882
49,-116.524
50,-87.8327
51,-115.345
52,-55.1356
53,-52.5676
54,-32.9317
55,-68.5381
56,44.6074
57,-41.91
58,58.9143
59,15.158
60,87.6262
61,67.2812
62,194.014
63,100.924
64,98.5221
65,186.892
66,141.129
67,88.9772
68,249.056
69,246.691
70,243.933
71,212.862
72,365.388
73,355.145
74,428.173
75,427.765
76,444.027
77,523.026
78,445.912
79,633.765
80,607.944
81,630.534
82,406.706
83,627.336
84,739.287
85,658.071
86,806.557
87,880.97
88,854.33
89,936.472
90,984.158
91,770.163
92,1043.34
93,1083.38
94,1097.91
95,1107.2
96,1177.96
97,942.488
98,1168.24
99,1224.75
100,1275.12
101,1151.19
102,1235.14
103,1314.78
104,1204.77
105,1337.08
106,1361.96
107,1074.52
108,1443.95
109,1146.62
110,1389.92
111,947.49
112,1438.48
113,1402.99
114,1544.92
115,1408.03
116,1417.08
117,1533.05
118,1597.44
119,1549.72
120,1340.59
121,1388.07
122,1254.53
123,1454.67
124,1574.01
125,1510.69
126,1757.61
127,1505.36
128,1714.53
129,1512.85
130,1578.35
131,1471.58
132,1465.33
133,1455.39
134,1412.36
135,1594.9
136,1287.08
137,1607.24
138,1559.46
139,1792.71
140,1494.77
141,1850.88
142,1937.9
143,1652.35
144,1515.91
145,1941.09
146,1822.8
147,1907.28
148,1985.54
149,1917.87
150,1606.98
151,1980.47
152,1972.95
153,1508.6
154,1761.59
155,1381.76
156,1808.52
157,2051.23
158,1656.95
159,2012.97
160,1864.15
161,1955.06
162,1648.03
163,1666.72
164,1906.22
165,1728.12
166,1570.76
167,2088.95
168,1969.11
169,2102.4
170,2135.81
171,2114.14
172,1977.25
173,2140.58
174,2047.39
175,1859.17
176,1962.0
177,2139.34
178,1534.37
179,2243.61
180,1859.23
181,1993.99
182,1950.95
183,2039.05
184,1534.16
185,2250.13
186,1794.52
187,1874.87
188,2013.32
189,1969.82
190,2095.08
191,2044.46
192,2258.23
193,2366.85
194,2315.57
195,2318.78
196,2258.59
197,1875.06
198,2331.77
199,1403.82
200,2372.96
201,2417.44
202,1993.46
203,2422.87
204,2176.62
205,2346.73
206,2401.51
207,2407.8
208,2008.95
209,2215.8
210,1862.73
211,2229.84
212,2325.17
213,2408.51
214,1718.06
215,2185.92
216,2302.23
217,2435.46
218,2274.67
219,2339.0
220,2435.66
221,2053.83
222,2542.95
223,2383.16
224,1717.69
225,1761.51
226,2253.3
227,2499.12
228,2553.37
229,2232.69
230,2190.42
231,2260.5
232,2500.38
233,2173.09
234,2447.52
235,2226.97
236,2038.95
237,2479.78
238,2590.29
239,2251.23
240,2558.95
241,2239.34
242,2206.01
243,1969.48
244,2439.31
245,2039.53
246,2460.25
247,2677.42
248,2566.12
249,2596.28
250,2340.75
251,2618.35
252,2612.16
253,2638.78
254,2594.75
255,2684.2
256,2255.51
257,2536.8
258,2151.09
259,2544.15
260,2418.1
261,2378.31
262,2577.11
263,2666.39
264,2213.87
265,2232.11
266,2752.52
267,2112.52
268,2217.28
269,2741.65
270,2391.94
271,2590.17
