Iteration,AverageReturn
0,120.364
1,115.307
2,119.609
3,123.726
4,128.789
5,134.887
6,142.053
7,153.786
8,159.491
9,181.423
10,178.754
11,196.279
12,222.577
13,220.359
14,230.85
15,241.715
16,251.709
17,249.386
18,270.011
19,259.234
20,261.569
21,259.239
22,255.6
23,265.693
24,269.932
25,262.451
26,265.152
27,263.362
28,258.332
29,262.927
30,275.004
31,253.772
32,256.27
33,262.292
34,267.371
35,266.95
36,268.947
37,278.814
38,288.454
39,284.882
40,291.462
41,293.903
42,309.939
43,303.805
44,322.663
45,302.877
46,321.101
47,326.007
48,304.757
49,346.975
50,339.665
51,337.693
52,329.48
53,326.666
54,333.194
55,352.245
56,324.094
57,326.517
58,338.105
59,337.967
60,351.567
61,331.09
62,372.438
63,341.33
64,375.19
65,352.761
66,348.871
67,368.638
68,351.708
69,364.545
70,374.688
71,360.374
72,364.627
73,374.026
74,369.158
75,350.032
76,355.245
77,376.281
78,345.694
79,348.849
80,367.259
81,359.104
82,369.714
83,356.642
84,350.97
85,372.936
86,354.196
87,335.205
88,345.263
89,343.767
90,338.584
91,355.832
92,346.632
93,360.744
94,379.048
95,351.246
96,346.144
97,345.908
98,358.981
99,361.284
100,345.579
101,346.919
102,348.551
103,384.495
104,388.168
105,388.619
106,386.915
107,347.341
108,366.378
109,351.397
110,368.151
111,384.496
112,367.657
113,369.62
114,395.147
115,383.168
116,390.815
117,367.847
118,395.263
119,401.642
120,407.574
121,394.374
122,364.237
123,381.417
124,397.487
125,392.372
126,389.775
127,419.683
128,431.068
129,411.037
130,380.135
131,375.401
132,430.268
133,389.773
134,391.541
135,373.074
136,392.206
137,381.74
138,398.274
139,382.793
140,429.578
141,399.28
142,408.892
143,405.519
144,386.826
145,382.114
146,419.893
147,429.074
148,422.343
149,413.265
150,381.108
151,462.586
152,415.721
153,412.537
154,427.918
155,425.077
156,430.242
157,429.667
158,406.614
159,400.343
160,421.093
161,420.005
162,430.459
163,429.432
164,420.419
165,436.171
166,439.803
167,435.362
168,431.912
169,442.295
170,407.983
171,418.381
172,418.804
173,431.195
174,428.135
175,455.515
176,437.159
177,432.315
178,432.576
179,417.03
180,423.509
181,413.319
182,407.194
183,427.562
184,452.416
185,436.139
186,443.914
187,426.649
188,452.919
189,414.652
190,435.785
191,466.027
192,431.622
193,467.455
194,431.179
195,439.827
196,419.137
197,435.318
198,439.566
199,433.353
200,443.913
201,436.521
202,446.509
203,447.062
204,439.284
205,449.526
206,451.281
207,432.373
208,439.689
209,428.987
210,458.673
211,422.842
212,419.953
213,446.677
214,454.171
215,441.776
216,435.108
217,436.825
218,452.24
219,450.063
220,459.69
221,452.519
222,457.22
223,437.642
224,440.18
225,437.571
226,445.454
227,439.703
228,458.344
229,442.3
230,445.358
231,438.455
232,449.676
233,430.942
234,450.138
235,431.086
236,433.973
237,456.923
238,433.238
239,446.424
240,442.431
241,433.238
242,455.299
243,440.442
244,448.303
245,455.307
246,452.224
247,458.739
248,438.226
249,472.815
250,455.148
251,483.594
252,457.703
253,451.24
254,442.956
255,436.886
256,452.449
257,464.67
258,473.698
259,449.977
260,468.341
261,445.805
262,461.967
263,433.35
264,466.121
265,459.991
266,426.974
267,432.319
268,488.107
269,480.146
270,468.122
271,478.314
272,452.195
273,453.936
274,477.006
275,479.119
276,462.449
277,457.304
278,452.008
279,461.307
280,465.76
281,451.498
282,453.652
283,458.711
284,464.322
285,469.859
286,448.987
287,454.888
288,433.416
289,450.568
290,458.178
291,460.198
292,458.729
293,470.754
294,453.908
295,469.698
296,453.477
297,455.761
298,444.162
299,455.964
300,481.977
301,451.724
302,463.982
303,482.842
304,473.597
305,481.727
306,486.3
307,454.279
308,469.331
309,472.658
310,468.135
311,443.431
312,468.833
313,495.116
314,489.896
315,477.231
316,470.684
317,497.05
318,499.487
319,451.589
320,461.924
321,496.396
322,482.349
323,462.808
324,472.103
325,491.593
326,505.8
327,479.546
328,486.26
329,475.962
330,459.345
331,469.63
332,491.532
333,474.427
334,495.949
335,468.327
336,481.543
337,487.334
338,509.779
339,463.129
340,514.733
341,482.548
342,520.937
343,473.158
344,485.902
345,475.67
346,467.331
347,477.331
348,486.312
349,507.897
350,476.3
351,470.264
352,509.131
353,483.128
354,476.073
355,482.936
356,482.859
357,501.224
358,485.603
359,492.216
360,484.625
361,487.974
362,514.803
363,456.408
364,458.544
365,475.767
366,474.315
367,469.755
368,469.355
369,503.379
370,475.445
371,494.912
372,477.742
373,479.767
374,477.309
375,495.338
376,472.09
377,510.265
378,479.942
379,497.024
380,486.582
381,472.809
382,470.713
383,474.42
384,511.796
385,484.152
386,483.256
387,497.114
388,498.797
389,474.371
390,457.057
391,496.704
392,481.459
393,477.284
394,471.751
395,480.181
396,476.83
397,498.946
398,511.093
399,483.825
400,481.468
401,496.826
402,513.103
403,497.847
404,504.361
405,479.838
406,491.172
407,478.052
408,484.232
409,493.419
410,478.699
411,492.649
412,505.447
413,477.755
414,518.348
415,505.497
416,513.902
417,516.388
418,476.839
419,494.309
420,501.323
421,504.502
422,482.288
423,531.556
424,466.767
425,466.343
426,481.196
427,496.807
428,490.655
429,504.86
430,487.916
431,494.299
432,491.153
433,483.236
434,510.319
435,514.76
436,487.209
437,481.599
438,523.541
439,498.03
440,478.402
441,475.408
442,497.181
443,520.034
444,510.507
445,507.387
446,497.183
447,483.04
448,492.675
449,498.514
450,491.621
451,490.984
452,510.222
453,525.034
454,541.133
455,528.792
456,494.418
457,496.715
458,491.949
459,529.382
460,523.14
461,523.31
462,484.477
463,490.756
464,496.201
465,523.537
466,508.44
467,526.508
468,522.615
469,545.328
470,534.404
471,498.06
472,510.396
473,521.193
474,513.846
475,529.293
476,517.739
477,524.418
478,560.181
479,526.41
480,522.519
481,530.51
482,530.465
483,531.017
484,517.649
485,510.891
486,536.525
487,525.165
488,525.733
489,518.584
490,530.811
491,547.545
492,553.8
493,527.925
494,549.308
495,545.642
496,509.126
497,517.281
498,553.159
499,520.071
500,588.231
501,531.015
502,503.51
503,511.375
504,560.735
505,516.491
506,541.516
507,538.491
508,548.924
509,553.783
510,516.995
511,514.258
512,502.6
513,540.513
514,538.118
515,524.876
516,557.699
517,488.446
518,532.196
519,527.897
520,541.39
521,512.988
522,501.031
523,538.383
524,512.089
525,537.951
526,525.279
527,531.675
528,528.564
529,570.812
530,546.704
531,557.122
532,547.778
533,531.059
534,525.374
535,491.022
536,540.814
537,517.947
538,565.003
539,511.096
540,547.718
541,544.642
542,530.978
543,568.918
544,539.492
545,530.734
546,490.721
547,519.285
548,574.452
549,541.559
550,571.988
551,510.651
552,494.493
553,499.661
554,542.252
555,494.202
556,517.575
557,511.263
558,517.596
559,497.141
560,503.119
561,556.737
562,510.596
563,515.915
564,511.94
565,535.477
566,554.767
567,554.15
568,567.925
569,548.966
570,529.636
571,538.077
572,548.694
573,532.387
574,536.435
575,550.765
576,526.482
577,529.374
578,521.289
579,530.439
580,558.174
581,527.574
582,532.399
583,559.471
584,587.957
585,520.267
586,547.792
587,528.925
588,561.962
589,532.196
590,522.62
591,503.035
592,557.022
593,520.482
594,526.021
595,525.5
596,502.59
597,541.776
598,532.975
599,574.169
600,548.805
601,529.956
602,530.323
603,568.21
604,529.604
605,567.591
606,558.418
607,534.007
608,534.919
609,549.518
610,551.133
611,580.378
612,530.312
613,531.056
614,535.473
615,536.45
616,555.885
617,524.216
618,558.959
619,520.471
620,562.569
621,579.581
622,550.541
