Iteration,AverageReturn
0,-5.24273
1,-4.7932
2,-4.25062
3,-3.19475
4,-2.72265
5,-1.73948
6,-0.371066
7,0.215795
8,0.590031
9,2.15172
10,3.63944
11,7.45828
12,10.2232
13,13.7945
14,19.5362
15,26.6033
16,28.6936
17,43.3136
18,59.506
19,69.8242
20,97.4627
21,115.748
22,157.946
23,121.089
24,162.249
25,215.425
26,165.546
27,186.936
28,234.923
29,203.559
30,224.967
31,251.114
32,272.133
33,296.483
34,319.29
35,314.675
36,282.138
37,319.873
38,322.344
39,321.028
40,324.439
41,281.366
42,289.727
43,359.384
44,310.927
45,341.999
46,402.996
47,325.623
48,323.176
49,344.237
50,337.573
51,354.336
52,300.008
53,343.67
54,368.717
55,311.275
56,358.866
57,362.923
58,366.002
59,368.25
60,350.887
61,363.033
62,405.849
63,351.885
64,388.364
65,387.47
66,295.651
67,398.71
68,307.906
69,322.782
70,363.668
71,379.648
72,375.201
73,343.011
74,385.078
75,293.571
76,298.391
77,247.39
78,420.974
79,331.504
80,362.787
81,389.567
82,356.504
83,334.769
84,296.019
85,364.838
86,292.759
87,351.069
88,369.762
89,349.186
90,382.932
91,382.174
92,406.973
93,386.706
94,413.174
95,376.661
96,328.432
97,385.982
98,347.507
99,402.461
100,357.289
101,370.031
102,324.266
103,393.624
104,349.399
105,405.874
106,378.434
107,365.992
108,344.909
109,368.709
110,345.32
111,313.526
112,352.322
113,323.882
114,301.038
115,323.503
116,326.689
117,335.844
118,278.251
119,340.358
120,299.768
121,359.428
122,219.218
123,300.381
124,222.988
125,321.266
126,321.522
127,339.559
128,319.217
129,333.698
130,278.058
131,353.45
132,358.429
133,322.606
134,335.949
135,350.005
136,317.305
137,302.001
138,343.456
139,323.386
140,321.137
141,356.303
142,334.525
143,334.049
144,330.116
145,321.789
146,346.348
147,342.924
148,365.323
149,321.486
150,371.399
151,310.714
152,337.905
153,351.681
154,279.018
155,334.478
156,343.36
157,323.384
158,334.585
159,329.36
160,335.791
161,328.597
162,343.504
163,317.87
164,332.933
165,356.26
166,333.377
167,320.212
168,345.649
169,343.896
170,321.791
171,340.803
172,355.973
173,308.808
174,352.845
175,333.775
176,300.579
177,360.615
178,334.323
179,322.423
180,336.52
181,347.661
182,320.326
183,328.573
184,316.229
185,327.381
186,294.075
187,320.384
188,313.164
189,358.088
190,363.721
191,322.686
192,324.553
193,330.03
194,310.037
195,274.533
196,300.764
197,353.615
198,328.357
199,313.494
200,311.642
201,342.009
202,311.81
203,327.531
204,300.993
205,350.66
206,311.724
207,331.782
208,359.97
209,374.239
210,368.906
211,338.405
212,320.913
213,378.788
214,341.506
215,335.938
216,364.146
217,359.559
218,345.626
219,382.756
220,357.53
221,378.624
222,405.064
223,418.462
224,403.298
225,384.052
226,389.902
227,412.847
228,416.617
229,446.63
230,477.583
231,442.62
232,449.751
233,423.372
234,469.029
235,451.804
236,468.621
237,471.465
238,459.594
239,464.453
240,495.811
241,471.525
242,471.838
243,480.005
244,467.713
245,468.706
246,521.131
247,459.442
248,423.634
249,481.26
250,472.487
251,455.137
252,478.579
253,424.086
