Iteration,AverageReturn
0,-75.7039
1,-60.4935
2,-47.7689
3,-58.9647
4,-51.4256
5,-43.9174
6,-42.1677
7,-49.4716
8,-41.7418
9,-62.5619
10,-45.8294
11,-46.1045
12,-56.8666
13,-39.2622
14,-56.1486
15,-42.2304
16,-46.2033
17,-46.6895
18,-47.0644
19,-60.4352
20,-39.1575
21,-45.0416
22,-48.7605
23,-67.506
24,-48.0764
25,-61.7843
26,-68.4905
27,-52.9741
28,-34.513
29,-46.8124
30,-46.1303
31,-40.7772
32,-49.6279
33,-43.5024
34,-42.1472
35,-51.1041
36,-53.032
37,-40.4307
38,-38.9058
39,-42.1085
40,-40.7614
41,-36.5291
42,-69.9538
43,-46.7842
44,-71.6681
45,-55.3562
46,-51.0124
47,-38.1442
48,-52.136
49,-43.0892
50,-44.2615
51,-39.1181
52,-36.5831
53,-42.4796
54,-47.2847
55,-35.3983
56,-44.974
57,-53.5908
58,-43.1106
59,-41.4102
60,-48.5723
61,-45.8858
62,-45.9111
63,-41.9089
64,-37.2999
65,-37.7351
66,-49.0825
67,-58.2412
68,-48.3333
69,-46.2457
70,-32.9412
71,-56.9829
72,-34.1599
73,-53.1169
74,-35.3187
75,-43.5994
76,-45.0062
77,-43.2055
78,-34.2605
79,-68.6569
80,-31.9186
81,-42.3902
82,-40.4547
83,-55.4942
84,-33.7387
85,-48.3242
86,-46.8445
87,-44.5413
88,-43.2604
89,-41.0573
90,-31.1085
91,-41.7091
92,-39.946
93,-39.3488
94,-39.3852
95,-42.6379
96,-41.5487
97,-52.4616
98,-29.4185
99,-43.4182
100,-38.3549
101,-51.2895
102,-34.3547
103,-34.7773
104,-40.663
105,-40.5717
106,-33.7781
107,-31.5721
108,-32.5188
109,-36.497
110,-33.4063
111,-35.8762
112,-31.9061
113,-31.0753
114,-34.0638
115,-31.7486
116,-39.3432
117,-34.0387
118,-26.5667
119,-50.9581
120,-35.481
121,-26.4174
122,-28.5994
123,-32.4371
124,-34.0042
125,-27.7621
126,-31.1313
127,-42.005
128,-29.6953
129,-52.8935
130,-30.697
131,-39.5787
132,-34.7831
133,-28.193
134,-34.7968
135,-41.216
136,-27.8995
137,-40.1668
138,-42.5653
139,-53.9465
140,-29.0791
141,-32.3876
142,-38.0054
143,-38.9043
144,-28.7517
145,-40.4952
146,-31.2736
147,-28.5319
148,-29.4958
149,-27.0905
150,-42.8273
151,-28.5657
152,-26.9317
153,-26.8531
154,-30.1946
155,-28.3341
156,-44.1634
157,-27.2932
158,-31.8642
159,-24.5307
160,-27.8764
161,-29.0944
162,-35.3788
163,-29.8325
164,-38.5811
165,-33.7636
166,-25.703
167,-39.8135
168,-27.6145
169,-30.3714
170,-36.3825
171,-27.0235
172,-35.4413
173,-40.5351
174,-23.3835
175,-33.098
176,-33.5738
177,-24.9893
178,-26.6204
179,-27.9662
180,-43.8697
181,-25.5642
182,-35.2919
183,-28.5259
184,-29.1734
185,-31.7303
186,-24.4171
187,-35.0497
188,-24.7269
189,-32.2064
190,-28.0642
191,-28.8506
192,-35.4975
193,-34.6776
194,-28.5116
195,-24.4566
196,-25.288
197,-20.6207
198,-22.1539
199,-31.4047
200,-21.5503
201,-21.004
202,-22.537
203,-35.8932
204,-33.2968
205,-28.8792
206,-32.8774
207,-31.3037
208,-22.1988
209,-33.063
210,-29.9274
211,-22.5766
212,-27.5265
213,-23.779
214,-43.9686
215,-26.0024
216,-21.1637
217,-46.4071
218,-28.1919
219,-26.3623
220,-22.8206
221,-20.0075
222,-48.3926
223,-38.4567
224,-28.1715
225,-28.8944
226,-23.0159
227,-20.4787
228,-23.4954
229,-25.2991
230,-28.5821
231,-23.6003
232,-21.0572
233,-23.3804
234,-21.4381
235,-30.6639
236,-26.7783
237,-20.3465
238,-26.6871
239,-21.5873
240,-24.9143
241,-27.6293
242,-25.7696
243,-24.707
244,-22.9443
245,-25.5267
246,-24.3707
247,-29.9863
248,-25.4602
249,-23.6447
250,-19.7128
251,-24.6902
252,-23.2797
253,-20.1717
254,-19.8269
255,-15.7176
256,-24.6715
257,-23.7085
258,-22.9034
259,-24.5352
260,-16.7392
261,-23.4112
262,-24.1801
263,-20.0418
264,-21.8274
265,-25.3504
266,-22.244
267,-18.8023
268,-31.6883
269,-28.7098
270,-21.0985
271,-25.2753
272,-24.2497
273,-18.3596
274,-24.4684
275,-17.4684
276,-24.9876
277,-34.527
278,-14.7899
279,-21.1087
280,-19.6961
281,-25.0716
282,-20.4243
283,-15.603
284,-32.6622
285,-19.8478
286,-18.2401
287,-18.2799
288,-19.7746
289,-22.7549
290,-18.7771
291,-24.0395
292,-27.9117
293,-20.9353
294,-15.2002
295,-18.3632
296,-21.5086
297,-16.9307
298,-16.9207
299,-15.6823
300,-19.3187
301,-15.0791
302,-24.5443
303,-22.8932
304,-14.9849
305,-24.7088
306,-30.2575
307,-19.5461
308,-18.8517
309,-26.0253
310,-21.0698
311,-25.0158
312,-18.0653
313,-27.9964
314,-29.8377
315,-20.2356
316,-18.0037
317,-24.5511
318,-20.9486
319,-18.3731
320,-20.7372
321,-18.0707
322,-27.505
323,-13.6631
324,-20.7825
325,-13.3767
326,-12.8522
327,-16.4739
328,-17.9686
329,-14.6116
330,-26.7722
331,-19.5341
332,-19.0229
333,-14.1564
334,-18.5302
335,-17.5282
336,-13.7285
337,-15.3028
338,-19.3828
339,-17.3767
340,-18.6503
341,-12.9151
342,-18.8958
343,-18.3863
344,-14.1342
345,-19.7909
346,-10.5714
347,-17.4859
348,-21.0683
349,-25.8219
350,-17.0173
351,-13.5288
352,-21.1062
353,-18.0837
354,-14.3087
355,-23.2244
356,-14.3086
357,-21.7282
358,-11.2287
359,-13.2118
360,-11.8152
361,-18.644
362,-17.777
363,-21.795
364,-15.8253
365,-23.8707
366,-12.1011
367,-18.3995
368,-19.1415
369,-17.8084
370,-10.958
371,-25.4925
372,-22.1496
373,-16.9195
374,-14.1107
375,-10.8103
376,-14.4517
377,-13.7998
378,-12.4017
379,-12.933
380,-15.7491
381,-17.0021
382,-15.6044
383,-20.3074
384,-11.8495
385,-12.9137
386,-12.5906
387,-11.9381
388,-13.6786
389,-19.0557
390,-14.2079
391,-12.9482
392,-11.5479
393,-20.6549
394,-45.5657
395,-9.27365
396,-12.9795
397,-16.6717
398,-13.2439
399,-17.5698
400,-12.0472
401,-19.6208
402,-21.0943
403,-16.9617
404,-10.6498
405,-14.0774
406,-11.9582
407,-12.6431
408,-24.3811
409,-17.6246
410,-23.7484
411,-11.4485
412,-12.8099
413,-10.87
414,-11.8463
415,-10.1028
416,-11.0078
417,-16.1251
418,-10.7511
419,-12.0955
420,-9.9106
421,-10.3582
422,-9.12976
423,-12.7636
424,-12.3369
425,-14.7446
426,-13.6751
427,-10.7587
428,-12.6806
429,-9.31175
430,-12.1816
431,-10.0272
432,-19.5489
433,-10.7442
434,-11.6718
435,-11.1762
436,-11.6522
437,-10.2278
438,-13.5982
439,-9.66071
440,-11.1965
441,-11.4124
442,-13.1895
443,-7.59912
444,-11.9293
445,-13.324
446,-10.9728
447,-13.1248
448,-12.2374
449,-9.27137
450,-9.09569
451,-13.7442
452,-9.64183
453,-7.41727
454,-7.22228
455,-11.0773
456,-8.63971
457,-8.65018
458,-8.35198
459,-16.8085
460,-11.2676
461,-10.781
462,-9.26049
463,-8.54898
464,-9.13924
465,-6.02405
466,-12.186
467,-13.2999
468,-13.8814
469,-10.0335
470,-8.05027
471,-10.3226
472,-16.8134
473,-6.87613
474,-9.80703
475,-12.343
476,-7.42023
477,-11.4123
478,-16.0214
479,-6.85446
480,-15.5659
481,-7.95057
482,-8.53547
483,-7.58534
484,-21.2799
485,-21.0468
486,-8.04831
487,-10.6329
488,-13.6845
489,-15.1455
490,-9.02573
491,-10.9523
492,-10.4001
493,-18.2158
494,-10.3187
495,-11.3154
496,-11.7154
497,-7.49113
498,-8.80057
499,-6.9048
500,-11.497
501,-12.6938
502,-10.9666
503,-7.37796
504,-11.9312
505,-9.60339
506,-9.01249
507,-6.77839
508,-11.3396
509,-7.35504
510,-9.63799
511,-11.2307
512,-14.5759
513,-5.27843
514,-11.4692
515,-5.36221
516,-8.83618
517,-7.22955
518,-7.42273
519,-21.2531
520,-16.3623
521,-8.81791
522,-22.7745
523,-4.12816
524,-8.53862
525,-7.81913
526,-8.23464
527,-9.49832
528,-12.6871
529,-6.88668
530,-9.25822
531,-5.20574
532,-7.20762
533,-5.98941
534,-13.0235
535,-10.8032
536,-4.81927
537,-17.1512
538,-5.36763
539,-7.05695
540,-13.555
541,-5.28732
542,-5.54093
543,-5.90819
544,-4.31112
545,-4.94744
546,-4.20624
547,-4.70217
548,-5.46349
549,-4.69841
550,-7.66819
551,-8.14695
552,-12.634
553,-7.39931
554,-5.7009
555,-5.13224
556,-15.5599
557,-9.02832
558,-7.32408
559,-10.2254
560,-8.20298
561,-5.73987
562,-8.33137
563,-3.57988
564,-6.8703
565,-4.51269
566,-5.56769
567,-8.22752
568,-7.49566
569,-2.95927
570,-6.30995
571,-6.02076
572,-4.41963
573,-9.93543
574,-6.53121
575,-3.20835
576,-2.52795
577,-6.84054
578,-8.46897
579,-3.65064
580,-4.75431
581,-3.55177
582,-2.29742
583,-3.95044
584,-2.00049
585,-4.29359
586,-3.17332
587,-11.7697
588,-5.28963
589,-2.75706
590,-5.05268
591,-2.52024
592,-9.33041
593,-4.37663
594,-3.399
595,-13.0254
596,-9.47121
597,-3.96908
598,-1.51582
599,-3.56485
600,-2.13933
601,-4.52988
602,-5.93507
603,-1.74932
604,-5.99394
605,-5.44147
606,-2.81679
607,-5.94021
608,-2.68147
609,-4.4882
610,-2.4632
611,-1.83773
612,-0.823414
613,-6.90594
614,-4.98097
615,-1.57172
616,-0.0527904
617,-9.56635
618,-7.6988
619,-2.27037
620,-1.63812
621,-0.512343
622,-0.564394
623,-3.8292
624,-1.23549
625,-0.85815
626,1.14706
627,-5.53002
628,-3.80405
629,-13.0624
630,-0.0193614
631,-1.79709
632,-2.83701
633,-1.33417
634,-1.04912
635,-1.62409
636,-2.58428
637,-1.1828
638,-0.904159
639,-1.32207
640,0.367401
641,-1.81656
642,-0.249612
643,-2.40185
644,-1.2611
645,-2.83812
646,-6.21943
647,1.65986
648,-1.61848
649,-0.109279
650,1.34942
651,-1.98105
652,1.00939
653,-6.48551
654,1.64283
655,-8.17818
656,2.86132
657,0.98437
658,1.7798
659,0.287233
660,-1.38458
661,-0.896012
662,0.701277
663,1.42729
664,0.582402
665,-0.465034
666,-1.26791
667,-3.807
668,2.13272
669,1.81348
670,1.49598
671,2.20479
672,-1.46825
673,0.279876
674,-4.99443
675,1.33865
676,0.653226
677,-0.0116609
678,-3.70477
679,-10.2211
680,-4.42415
681,1.76118
682,1.20553
683,-0.81621
684,3.02887
685,2.5746
686,1.22683
687,0.631886
688,2.32252
689,3.99707
690,0.368148
691,1.41111
692,-0.0396527
693,-5.86849
694,1.51399
695,-1.75686
696,3.16978
697,1.98334
698,3.43274
699,0.705868
700,3.43741
701,3.94063
702,-1.18124
703,-1.72563
704,-6.57766
705,-0.189052
706,0.721446
707,1.14911
708,4.84595
709,3.858
710,1.26394
711,-2.28952
712,1.23829
713,1.05194
714,3.78756
715,0.747949
716,2.83508
717,3.90597
718,1.93156
719,0.605639
720,1.06818
721,3.94503
722,0.721952
723,3.94799
724,-2.085
725,5.95556
726,3.84119
727,2.65552
728,5.20628
729,2.95159
730,2.76908
731,5.05114
732,3.87458
733,2.60755
734,2.75689
735,4.37295
736,3.68909
737,6.11434
738,2.85632
739,2.1503
740,0.334049
741,5.24823
742,4.94792
743,5.80136
744,2.98189
745,1.82488
746,4.76147
747,4.72385
748,5.2485
749,4.39728
750,3.24581
751,-1.93096
752,5.17555
753,6.59628
754,2.50066
755,3.8031
756,-0.624938
757,3.36231
758,1.93085
759,3.96092
760,-2.00027
761,6.51597
762,2.4941
763,3.66111
764,6.46215
765,5.92189
766,3.347
767,5.88896
768,4.39367
769,8.23741
770,1.16673
771,5.18776
772,7.41157
773,6.5359
774,4.37714
775,3.87684
776,3.57605
777,3.82628
778,1.91991
779,5.06837
780,2.03183
781,1.90676
782,7.71579
783,8.61497
784,1.92561
785,7.59533
786,6.60747
787,4.93803
788,3.8175
789,0.209408
790,4.62024
791,2.36729
792,4.26326
793,2.89635
794,6.00728
795,8.67235
796,6.8046
797,8.52818
798,5.68467
799,10.9507
800,8.22227
801,9.79265
802,7.31981
803,7.12901
804,7.82633
805,5.91851
806,7.29948
807,9.23505
808,4.53754
809,6.64502
810,-1.27929
811,8.3198
812,5.77403
813,4.86597
814,4.50389
815,8.22355
816,6.46895
817,7.44053
818,6.4739
819,3.67598
820,7.50851
821,7.18593
822,7.81389
823,2.63512
824,10.9549
825,7.92266
826,10.7669
827,8.96585
828,7.56126
829,2.73644
830,5.27931
831,11.4238
832,12.7111
833,7.94988
834,10.668
835,10.1243
836,15.0725
837,7.07628
838,5.2024
839,11.1069
840,10.18
841,10.5671
842,5.37089
843,6.09112
844,-0.11322
845,3.81453
846,4.65033
847,11.6207
848,10.6749
849,3.34918
850,4.06477
851,11.0266
852,6.70461
853,13.8684
854,11.0207
855,10.5424
856,9.2388
857,12.6408
858,10.6399
859,8.29367
860,7.86788
861,8.89028
862,3.43578
863,9.52999
864,9.73066
865,8.21806
866,15.4772
867,10.1373
868,9.87251
869,8.46963
870,6.39183
871,11.9592
872,7.42772
873,9.64758
874,10.5939
875,9.94963
876,11.3843
877,12.37
878,11.8259
879,6.67465
880,9.78577
881,5.19228
882,15.0495
883,9.19508
884,12.695
885,14.0929
886,13.6749
887,11.6206
