Iteration,AverageReturn
0,21.6797
1,24.0673
2,25.005
3,30.012
4,47.8598
5,94.1111
6,140.472
7,153.606
8,186.407
9,190.889
10,193.769
11,200.0
12,200.0
13,200.0
14,200.0
15,200.0
16,200.0
17,200.0
18,200.0
19,200.0
20,198.577
21,199.846
22,200.0
23,198.654
24,199.769
25,196.346
26,199.462
27,199.808
28,200.0
29,200.0
30,200.0
31,200.0
32,200.0
33,200.0
34,200.0
35,200.0
36,200.0
37,200.0
38,200.0
39,200.0
40,200.0
41,200.0
42,200.0
43,200.0
44,200.0
45,200.0
46,200.0
47,200.0
48,200.0
49,200.0
50,200.0
51,200.0
52,200.0
53,200.0
54,200.0
55,200.0
56,200.0
57,200.0
58,200.0
59,199.769
60,200.0
61,200.0
62,200.0
63,200.0
64,200.0
65,200.0
66,199.962
67,199.423
68,199.192
69,200.0
70,200.0
71,199.923
72,199.308
73,200.0
74,200.0
75,200.0
76,200.0
77,200.0
78,200.0
79,200.0
80,200.0
81,200.0
82,200.0
83,200.0
84,200.0
85,200.0
86,200.0
87,200.0
88,200.0
89,200.0
90,200.0
91,199.923
92,200.0
93,200.0
94,200.0
95,200.0
96,200.0
97,200.0
98,200.0
99,197.615
100,200.0
101,200.0
102,200.0
103,200.0
104,182.0
105,198.308
106,200.0
107,200.0
108,200.0
109,200.0
110,200.0
111,200.0
112,200.0
113,200.0
114,200.0
115,200.0
116,200.0
117,200.0
118,200.0
119,200.0
120,200.0
121,200.0
122,199.704
123,198.962
124,200.0
125,199.385
126,199.308
127,199.462
128,200.0
129,198.154
130,199.577
131,197.269
132,199.231
133,198.615
134,196.846
135,197.192
136,193.462
137,198.423
138,193.346
139,198.5
140,196.885
141,197.808
142,199.077
143,197.269
144,197.615
145,197.885
146,197.808
147,197.846
148,196.308
149,196.0
150,196.577
151,198.654
152,195.269
153,198.462
154,199.231
155,199.923
156,198.231
157,195.5
158,197.808
159,199.115
160,198.308
161,199.423
162,200.0
163,200.0
164,200.0
165,200.0
166,200.0
167,200.0
168,200.0
169,200.0
170,200.0
171,200.0
172,199.654
173,200.0
174,200.0
175,200.0
176,200.0
177,200.0
178,200.0
179,200.0
180,199.808
181,199.231
182,200.0
183,198.192
184,197.154
185,199.269
186,200.0
187,200.0
188,199.269
189,200.0
190,198.462
191,197.462
192,200.0
193,198.962
194,200.0
195,200.0
196,200.0
197,198.231
198,200.0
199,200.0
200,198.462
201,194.885
202,200.0
203,197.577
204,200.0
205,198.769
206,199.385
207,199.615
208,199.231
209,198.808
210,200.0
211,197.923
212,197.654
213,199.885
214,199.615
215,200.0
216,199.692
217,199.346
218,199.269
219,199.346
220,199.808
221,199.192
222,200.0
223,198.654
224,199.038
225,198.077
226,199.615
227,200.0
228,197.346
229,197.769
230,200.0
231,199.462
232,200.0
233,198.5
234,199.538
235,200.0
236,200.0
237,198.808
238,200.0
239,200.0
240,200.0
241,200.0
242,200.0
243,188.519
244,200.0
245,200.0
246,200.0
247,199.808
248,200.0
249,200.0
250,200.0
251,200.0
252,200.0
253,200.0
254,125.5
255,143.914
256,200.0
257,199.692
258,200.0
259,200.0
260,199.692
261,149.618
262,162.032
263,200.0
264,200.0
265,200.0
266,200.0
267,200.0
268,200.0
269,200.0
270,127.375
271,146.857
272,200.0
273,200.0
274,197.269
275,183.179
276,200.0
277,200.0
278,194.192
279,197.115
280,199.5
281,200.0
282,200.0
283,200.0
284,131.0
285,170.4
286,196.615
287,200.0
288,200.0
289,200.0
290,199.115
291,200.0
292,200.0
293,200.0
294,200.0
295,200.0
296,200.0
297,200.0
298,200.0
299,200.0
300,200.0
301,200.0
302,200.0
303,199.0
304,200.0
305,199.692
306,200.0
307,200.0
308,199.385
309,199.885
310,200.0
311,200.0
312,197.769
313,197.692
314,196.769
315,200.0
316,199.692
317,200.0
318,200.0
319,200.0
320,199.692
321,200.0
322,200.0
323,200.0
324,112.87
325,139.917
326,174.241
327,196.346
328,199.923
329,200.0
330,200.0
331,198.615
332,199.846
