Iteration,AverageReturn
0,-516.142
1,-398.781
2,-495.277
3,-391.167
4,-337.534
5,-449.128
6,-408.313
7,-391.018
8,-367.109
9,-367.088
10,-411.577
11,-342.054
12,-368.629
13,-361.55
14,-397.068
15,-371.653
16,-345.08
17,-400.912
18,-397.15
19,-331.385
20,-361.131
21,-340.052
22,-362.715
23,-321.82
24,-345.259
25,-354.733
26,-345.646
27,-320.874
28,-370.011
29,-357.074
30,-322.945
31,-303.752
32,-377.387
33,-381.337
34,-304.207
35,-390.841
36,-389.344
37,-327.875
38,-363.939
39,-319.828
40,-274.959
41,-260.8
42,-256.733
43,-358.588
44,-326.143
45,-350.126
46,-298.959
47,-259.738
48,-238.723
49,-349.252
50,-282.06
51,-272.775
52,-252.145
53,-283.242
54,-322.2
55,-228.129
56,-261.325
57,-259.338
58,-334.663
59,-336.09
60,-308.134
61,-319.562
62,-257.295
63,-302.01
64,-285.868
65,-223.408
66,-314.006
67,-263.614
68,-173.024
69,-261.125
70,-196.596
71,-225.294
72,-284.399
73,-218.858
74,-164.837
75,-181.865
76,-225.303
77,-351.183
78,-202.666
79,-305.26
80,-222.113
81,-197.663
82,-273.392
83,-156.029
84,-166.604
85,-159.261
86,-49.4665
87,-141.772
88,-317.692
89,-212.154
90,-175.395
91,-283.528
92,-216.248
93,-313.049
94,-200.528
95,-248.483
96,-258.903
97,-195.951
98,-150.563
99,-150.383
100,-148.351
101,-286.367
102,-101.301
103,-164.638
104,-80.0508
105,-229.459
106,-128.202
107,-329.473
108,-220.711
109,-203.665
110,-142.653
111,-224.937
112,-221.054
113,-81.5418
114,-173.286
115,-165.554
116,-115.0
117,-225.342
118,-97.3139
119,-160.863
120,-167.622
121,-89.4398
122,-159.968
123,-84.8573
124,-183.546
125,-273.307
126,-25.0359
127,-206.64
128,-212.448
129,-81.1209
130,-45.1245
131,-203.253
132,-207.533
133,-24.6302
134,-151.054
135,-96.0567
136,21.9932
137,-10.6165
138,-200.421
139,-91.1891
140,-194.215
141,61.416
142,-121.207
143,-130.338
144,-202.926
145,-94.4414
146,-76.7134
147,-27.9868
148,-104.581
149,-160.727
150,-3.10707
151,-74.3544
152,-63.3898
153,-0.310864
154,-195.676
155,-74.5065
156,72.7752
157,-99.3101
158,-23.3399
159,-104.708
160,-168.732
161,-180.201
162,-137.473
163,-43.3499
164,-159.344
165,-105.099
166,-200.09
167,-6.1051
168,-146.504
169,-121.526
170,-17.3397
171,-78.7862
172,-40.2962
173,-242.929
174,4.94313
175,14.827
176,2.19687
177,31.6034
