Iteration,AverageReturn
0,107.731
1,108.013
2,110.962
3,113.958
4,113.483
5,119.133
6,119.164
7,120.628
8,119.873
9,119.614
10,124.135
11,121.517
12,121.186
13,127.853
14,119.52
15,136.051
16,131.684
17,128.393
18,126.8
19,131.756
20,132.782
21,133.9
22,128.401
23,137.354
24,135.754
25,139.468
26,136.112
27,146.071
28,143.023
29,148.65
30,143.068
31,153.571
32,151.04
33,154.751
34,157.83
35,159.834
36,152.628
37,164.325
38,168.403
39,175.08
40,173.38
41,170.082
42,177.168
43,170.087
44,181.525
45,172.294
46,179.364
47,184.984
48,182.014
49,189.776
50,194.513
51,185.837
52,196.341
53,194.585
54,200.161
55,197.44
56,192.572
57,185.205
58,195.217
59,193.777
60,197.123
61,204.453
62,203.344
63,203.524
64,207.763
65,207.222
66,228.326
67,223.019
68,236.039
69,226.744
70,230.72
71,225.346
72,241.307
73,230.515
74,231.103
75,250.699
76,236.762
77,242.907
78,234.463
79,225.996
80,250.536
81,246.493
82,249.985
83,248.895
84,251.792
85,251.38
86,258.879
87,253.145
88,244.003
89,275.065
90,248.692
91,274.801
92,291.891
93,269.857
94,270.222
95,267.532
96,250.403
97,285.609
98,278.82
99,267.343
100,276.803
101,267.229
102,270.834
103,268.762
104,279.755
105,283.842
106,278.082
107,280.29
108,278.164
109,293.817
110,280.044
111,274.359
112,275.291
113,300.744
114,281.463
115,305.52
116,297.047
117,285.419
118,292.212
119,299.313
120,303.384
121,300.343
122,293.14
123,299.885
124,291.101
125,306.027
126,305.652
127,294.389
128,292.785
129,297.168
130,305.456
131,298.327
132,312.512
133,302.233
134,302.723
135,295.467
136,323.171
137,296.239
138,305.444
139,309.814
140,299.928
141,312.803
142,294.815
143,287.361
144,303.003
145,302.978
146,304.908
147,319.822
148,315.333
149,303.728
150,325.172
151,315.95
152,312.243
153,326.619
154,313.635
155,320.597
156,299.239
157,321.581
158,325.233
159,338.163
160,335.738
161,310.327
162,323.534
163,308.413
164,319.607
165,313.372
166,333.106
167,321.922
168,309.887
169,331.338
170,331.333
171,322.585
172,322.005
173,331.7
174,325.642
175,318.907
176,304.993
177,316.793
178,329.863
179,326.134
180,330.422
181,336.754
182,320.246
183,336.269
184,321.816
185,307.677
186,332.158
187,328.892
188,324.537
189,316.136
190,327.781
191,324.618
192,347.46
193,321.953
194,340.817
195,335.151
196,317.091
197,340.336
198,328.285
199,321.872
200,333.272
201,328.789
202,336.437
203,336.969
204,332.205
205,346.84
206,338.485
207,334.094
208,336.538
209,323.195
210,324.041
211,334.442
212,329.382
213,340.853
214,336.291
215,330.232
216,349.617
217,333.287
218,341.087
219,346.898
220,336.103
221,314.867
222,338.729
223,354.266
224,335.482
225,347.408
226,327.316
227,344.643
228,334.015
229,332.817
230,360.407
231,335.925
232,340.059
233,335.567
234,336.431
235,331.639
236,338.792
237,351.022
238,328.116
239,349.696
240,342.408
241,334.247
242,328.733
243,326.091
244,337.946
245,346.548
246,330.22
247,342.609
248,341.183
249,358.593
250,335.396
251,331.416
252,321.265
253,342.174
254,364.979
255,338.106
256,333.234
257,342.511
258,339.203
259,354.45
260,348.931
261,330.294
262,355.171
263,339.653
264,331.99
265,347.966
266,337.898
267,343.918
268,337.915
269,355.517
270,348.13
271,334.948
272,351.486
273,339.546
274,356.205
275,340.541
276,349.877
277,366.367
278,359.287
279,331.529
280,325.666
281,331.071
282,344.365
283,335.608
284,345.173
285,335.634
286,336.809
287,335.194
288,363.003
289,360.459
290,347.014
291,333.562
292,356.012
293,353.827
294,341.621
295,340.606
296,350.27
297,338.803
298,343.879
299,341.02
300,369.463
301,346.632
