Iteration,AverageReturn
0,-7.29477
1,-7.0477
2,-5.2382
3,-3.66423
4,-3.5381
5,-1.23056
6,1.57302
7,2.12075
8,4.52724
9,7.04824
10,7.18706
11,9.69712
12,9.75013
13,15.0845
14,21.9184
15,22.4737
16,23.7961
17,43.7892
18,31.9274
19,57.5933
20,61.7575
21,60.3557
22,92.0747
23,60.7906
24,98.2891
25,130.876
26,113.01
27,98.3729
28,120.8
29,146.743
30,102.885
31,148.067
32,153.21
33,155.546
34,153.974
35,144.866
36,157.855
37,169.803
38,163.605
39,152.035
40,192.603
41,199.109
42,216.841
43,185.202
44,162.014
45,212.273
46,221.988
47,204.211
48,225.478
49,201.14
50,177.691
51,217.592
52,239.326
53,161.864
54,250.969
55,191.983
56,237.068
57,235.348
58,229.141
59,251.992
60,244.315
61,222.015
62,240.763
63,250.442
64,249.776
65,232.931
66,289.831
67,240.563
68,239.778
69,267.528
70,261.908
71,224.267
72,258.231
73,269.423
74,265.154
75,255.678
76,216.921
77,264.889
78,242.224
79,302.247
80,266.089
81,239.713
82,226.68
83,279.959
84,250.018
85,257.814
86,255.525
87,251.283
88,280.263
89,280.502
90,229.714
91,251.239
92,259.863
93,268.826
94,271.0
95,252.005
96,309.574
97,279.445
98,247.437
99,243.772
100,263.825
101,310.209
102,298.744
103,272.161
104,241.758
105,331.637
106,282.418
107,274.358
108,239.792
109,274.032
110,290.726
111,263.496
112,324.099
113,272.974
114,247.853
115,299.458
116,254.666
117,302.947
118,298.069
119,252.913
120,304.725
121,289.012
122,283.167
123,274.657
124,281.565
125,283.676
126,302.413
127,299.547
128,276.15
129,257.3
130,276.602
131,317.852
132,293.516
133,254.253
134,287.086
135,289.88
136,259.086
137,305.299
138,239.53
139,295.477
140,290.68
141,275.948
142,292.665
143,291.757
144,308.81
145,317.393
146,303.457
147,299.937
148,265.413
149,306.905
150,309.021
151,341.164
152,300.472
153,285.276
154,267.026
155,310.833
156,342.462
157,297.535
158,314.8
159,268.384
160,308.437
161,311.169
162,314.412
163,314.09
164,304.041
165,284.219
166,342.245
167,299.249
168,310.927
169,304.064
170,327.104
171,316.605
172,311.22
173,315.33
174,338.208
175,324.181
176,338.14
177,308.047
178,327.58
179,302.126
180,346.44
181,324.869
182,309.926
183,341.61
184,321.359
185,295.617
186,299.519
187,316.886
188,342.29
189,319.705
190,333.461
191,301.175
192,333.904
193,329.034
194,313.362
195,328.656
196,340.706
197,316.917
198,332.645
199,288.021
200,316.495
201,313.433
202,311.179
203,312.458
204,324.654
205,339.958
206,329.294
207,333.776
208,336.748
209,341.629
210,342.57
211,355.77
212,325.641
213,361.622
214,324.23
215,311.931
216,305.115
217,336.054
218,352.613
219,332.464
220,291.412
221,258.2
222,328.16
223,362.08
224,309.029
225,343.756
226,339.684
227,342.765
228,352.759
229,323.108
230,355.199
231,346.356
232,357.196
233,349.58
234,282.535
235,347.306
236,320.675
237,320.221
238,311.083
239,354.798
240,358.221
241,292.834
242,364.19
243,347.832
244,353.995
245,349.128
246,353.815
247,364.265
248,325.447
249,330.348
250,337.191
251,353.181
252,326.979
253,337.913
254,323.8
255,343.935
256,329.922
257,351.25
258,311.013
259,322.84
260,367.552
261,334.073
262,360.818
263,365.962
264,340.948
265,370.478
266,343.774
267,356.572
268,337.316
269,350.311
270,330.706
271,334.861
272,381.94
273,327.646
274,288.179
275,311.538
276,325.154
277,357.128
278,351.24
279,349.832
280,358.176
281,364.894
282,351.624
283,329.541
284,314.941
285,326.306
286,346.545
287,338.615
288,286.884
289,361.928
290,329.439
291,320.677
292,324.957
293,358.917
294,335.284
295,355.265
296,390.703
297,336.502
298,320.819
299,351.114
300,351.297
301,320.169
302,370.118
303,348.887
304,347.897
305,346.917
306,324.526
307,303.74
308,345.865
309,352.287
310,357.67
311,360.584
312,349.332
313,341.149
314,361.311
315,377.145
316,359.166
317,373.127
318,351.478
319,359.989
320,362.379
321,351.606
322,362.963
323,371.346
324,384.665
325,331.069
326,364.95
327,358.678
328,345.004
329,384.743
330,344.824
331,365.032
332,349.681
333,377.733
334,363.139
335,353.372
336,364.032
337,378.018
338,380.434
339,380.256
340,355.653
341,368.343
342,356.69
343,380.507
344,351.52
345,369.412
346,321.8
347,397.496
348,372.582
349,389.697
350,347.405
351,388.135
352,411.405
353,342.2
354,377.654
355,369.616
356,376.345
357,388.282
358,389.52
359,391.422
360,346.422
361,384.206
362,347.719
363,402.1
364,375.105
365,394.946
366,366.822
367,352.159
368,384.598
369,381.368
370,368.789
371,396.894
372,369.526
373,394.341
374,315.527
375,337.174
376,375.629
377,380.165
378,337.302
379,395.826
380,357.702
381,340.818
382,409.084
383,358.434
384,394.83
385,413.902
386,395.282
387,361.015
388,388.988
389,413.93
390,362.394
391,393.008
392,424.804
393,387.301
394,422.009
395,391.113
396,414.986
397,401.23
398,368.646
399,436.97
400,318.906
401,362.356
402,380.873
403,371.783
404,345.656
405,388.451
406,451.793
407,385.494
408,395.155
409,401.761
410,449.015
411,440.155
412,389.631
413,424.625
414,338.625
415,457.182
416,449.838
417,381.725
418,418.837
419,442.949
420,401.266
421,421.478
422,437.317
423,426.945
424,397.534
425,410.959
426,460.242
427,411.805
428,372.338
429,410.434
430,361.331
431,458.648
432,489.601
433,516.883
434,465.653
435,446.022
436,453.857
437,498.3
438,442.803
439,510.884
440,454.313
441,479.115
442,507.494
443,521.331
444,428.942
445,502.505
446,493.163
447,462.145
448,508.798
449,487.679
450,511.189
451,452.052
452,469.944
453,452.638
454,543.156
455,471.486
456,452.76
457,503.179
458,531.972
459,471.836
460,544.476
461,559.958
462,497.158
463,485.474
464,496.754
465,468.429
466,535.275
467,519.684
468,451.037
469,482.738
470,566.986
471,534.423
472,570.193
473,533.813
474,527.355
475,567.527
476,518.589
477,554.672
478,602.172
479,587.346
480,599.761
481,552.124
482,655.173
483,695.804
484,496.673
485,507.293
486,676.756
487,625.254
488,533.405
489,832.778
490,659.612
491,535.476
492,580.085
493,542.741
494,520.526
495,653.725
496,600.228
497,672.041
498,596.004
499,534.212
500,608.297
501,622.955
502,548.43
503,622.488
504,495.028
505,558.748
506,579.965
507,532.557
508,694.432
509,590.314
510,606.402
511,655.932
512,508.83
513,571.62
514,555.165
515,707.897
516,655.706
517,668.872
518,567.222
519,708.459
520,635.945
521,714.182
522,549.376
523,576.124
524,656.987
525,669.483
526,761.565
527,678.053
528,622.939
529,609.029
530,518.826
531,561.863
532,683.291
533,579.349
534,676.317
535,733.101
536,725.798
537,747.03
538,759.758
539,766.478
540,752.543
541,563.493
542,595.099
543,663.483
544,713.872
545,696.046
546,694.124
547,679.553
548,739.733
549,672.318
550,702.612
551,724.385
552,660.038
553,685.201
554,655.026
555,701.18
556,773.852
557,728.068
558,532.572
559,934.752
560,717.532
561,736.725
562,614.784
563,642.195
564,786.373
565,740.736
566,640.968
567,755.535
568,533.981
569,664.767
570,707.804
571,671.709
572,813.388
573,764.87
574,1278.33
575,566.796
576,747.722
577,663.746
578,611.25
579,884.436
580,879.914
581,798.803
582,733.912
583,627.598
584,1026.49
585,622.477
586,648.268
587,718.509
588,605.995
589,684.466
590,577.142
591,743.069
592,811.48
593,935.416
594,616.21
595,651.608
596,709.652
597,626.304
598,756.416
599,644.463
600,550.214
601,776.428
602,595.038
603,614.313
604,635.329
605,640.85
606,600.904
607,493.423
608,595.983
609,668.834
610,884.27
611,791.354
612,851.612
613,528.583
614,749.731
615,584.356
616,757.404
617,697.937
618,613.662
619,940.181
620,669.371
621,722.84
622,641.264
623,697.486
624,707.979
625,666.341
626,743.201
627,630.664
628,715.705
629,645.911
630,932.686
631,664.132
632,727.554
633,837.344
634,747.007
635,828.834
636,731.654
637,700.255
638,860.274
639,721.037
640,604.99
641,612.456
642,623.946
643,799.428
644,810.172
645,732.415
646,642.214
647,666.349
648,688.16
649,609.655
650,705.423
651,640.738
652,658.775
653,870.313
654,708.697
655,656.746
656,475.469
657,857.479
658,605.81
659,582.366
660,691.084
661,516.16
662,762.993
663,503.287
664,702.609
665,586.347
666,684.376
667,600.973
668,557.941
669,769.919
670,776.371
671,690.272
672,629.193
673,683.82
674,649.18
675,631.73
676,846.818
677,732.479
678,808.05
679,719.87
680,629.985
681,839.61
682,706.98
683,645.773
684,816.069
685,801.703
686,974.128
687,693.002
688,674.309
689,849.975
690,748.618
691,597.353
692,775.673
693,786.792
694,714.036
695,835.959
696,867.838
697,603.996
698,539.921
699,805.002
700,529.996
701,727.901
702,559.306
703,911.753
704,471.808
705,651.236
706,896.379
707,661.585
708,703.701
709,859.423
710,638.357
711,709.057
712,755.121
713,771.344
714,677.906
715,547.01
716,626.201
717,688.31
718,736.049
719,794.278
720,472.029
721,707.727
722,592.823
723,661.344
724,722.696
725,777.163
726,1031.2
727,854.028
728,808.216
729,690.195
730,649.906
731,919.398
732,661.39
733,629.245
734,453.582
735,689.773
736,759.325
737,717.022
738,837.016
739,654.092
740,656.412
741,952.24
742,812.343
743,758.244
744,644.803
745,675.798
746,835.99
747,848.549
748,551.374
749,693.96
750,863.512
751,763.421
752,666.01
753,537.564
754,875.776
755,599.323
756,1077.81
757,708.544
758,584.499
759,782.937
760,588.332
761,743.347
762,736.358
763,680.545
764,935.233
