Iteration,AverageReturn
0,-175.398
1,-161.437
2,-108.843
3,-97.0312
4,-134.775
5,-96.3963
6,-76.3301
7,-75.141
8,-98.0685
9,-97.4967
10,-102.466
11,-91.2802
12,-116.492
13,-131.799
14,-118.66
15,-81.8393
16,-91.2273
17,-185.08
18,-145.576
19,-114.334
20,-66.6796
21,-103.208
22,-108.941
23,-105.074
24,-56.9971
25,-130.055
26,-63.907
27,-62.4361
28,-86.4445
29,-98.8719
30,-102.681
31,-83.5442
32,-73.4099
33,-94.7707
34,-99.1811
35,-103.774
36,-79.9514
37,-81.6839
38,-110.808
39,-89.5188
40,-72.153
41,-99.2447
42,-122.698
43,-68.5395
44,-151.39
45,-73.512
46,-75.3526
47,-73.6822
48,-56.5287
49,-147.982
50,-74.3861
51,-82.4219
52,-61.8319
53,-95.9044
54,-64.4376
55,-51.8608
56,-73.4344
57,-63.4775
58,-86.1496
59,-79.1247
60,-80.7839
61,-89.2067
62,-56.8922
63,-75.7876
64,-60.41
65,-75.8467
66,-50.9769
67,-72.1119
68,-82.7288
69,-51.6716
70,-121.656
71,-51.1403
72,-68.1653
73,-58.7186
74,-70.2683
75,-73.3091
76,-48.3615
77,-58.7496
78,-64.54
79,-53.2539
80,-46.3031
81,-71.5185
82,-109.493
83,-44.0606
84,-44.5852
85,-47.1106
86,-77.6012
87,-84.8923
88,-67.9701
89,-41.8713
90,-51.8552
91,-55.141
92,-40.5055
93,-46.7198
94,-65.3646
95,-60.7118
96,-40.3098
97,-39.7697
98,-47.3455
99,-49.6222
100,-62.4959
101,-42.3486
102,-52.8636
103,-67.6655
104,-71.2711
105,-47.92
106,-48.9491
107,-49.8825
108,-57.042
109,-43.6341
110,-81.126
111,-44.189
112,-44.7316
113,-48.9681
114,-37.9179
115,-53.3545
116,-59.5734
117,-96.179
118,-71.8778
119,-48.0664
120,-50.2302
121,-48.4478
122,-60.2897
123,-59.8026
124,-50.7747
125,-44.0469
126,-64.1831
127,-43.9039
128,-37.5314
129,-36.732
130,-41.7874
131,-52.8107
132,-46.7006
133,-32.8558
134,-55.6826
135,-45.9308
136,-43.0381
137,-41.184
138,-44.1666
139,-33.1224
140,-51.0145
141,-41.8932
142,-44.9741
143,-75.8057
144,-90.1185
145,-35.2029
146,-43.5775
147,-70.5199
148,-51.8386
149,-36.2799
150,-56.726
151,-42.5077
152,-37.8555
153,-46.3225
154,-40.0922
155,-37.1036
156,-38.5525
157,-32.374
158,-37.938
159,-37.7742
160,-52.2439
161,-49.122
162,-36.4582
163,-30.0406
164,-30.5216
165,-43.936
166,-36.6372
167,-37.9428
168,-34.5396
169,-31.8528
170,-28.2633
171,-34.0566
172,-27.1272
173,-37.6325
174,-43.288
175,-40.8414
176,-34.8622
177,-36.8241
178,-28.6002
179,-31.7736
180,-38.5994
181,-36.4774
182,-34.7817
183,-39.2386
184,-48.3525
185,-27.6695
186,-50.6146
187,-35.4464
188,-31.9179
189,-39.719
190,-38.9454
191,-32.4823
192,-27.4775
193,-36.1408
194,-34.3854
195,-40.1486
