AverageDiscountedReturn,PolicyExecTime,ProcessExecTime,dLoss,MeanKLBefore,EnvExecTime,ItrTime,NumTrajs,AverageReturn,Iteration,MeanKL,LossAfter,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,Time,AbsLearnSignal,MaxReturn,LossBefore,StdReturn,MinReturn
-89.2820718135,0.7574973106384277,0.09886860847473145,0.0598861,0.0,1.704301357269287,3.9843838214874268,5,-688.901477148,0,0.00989797,-0.0598861,8.51363,1.0,4982.22,1.17275078537e-11,3.984389305114746,0.785777202587,-522.774623717,-5.70297e-08,138.453566176,-937.032297048
-65.7821056242,0.7389965057373047,0.09015512466430664,0.061863,0.0,1.6916751861572266,3.7192444801330566,5,-658.273704813,1,0.00997601,-0.0618629,8.51191,0.999716,4973.64,0.379855941065,7.720121383666992,0.749299241616,-469.068045785,5.35965e-08,183.398579422,-949.312848038
-62.4432711407,0.7333383560180664,0.09459614753723145,0.0645455,0.0,1.6529812812805176,3.553846597671509,5,-634.053189915,2,0.00991846,-0.0645454,8.51583,1.00037,4993.19,0.474981406183,11.278489112854004,0.781849151152,-423.184308734,6.48499e-09,177.402412307,-861.629370797
-60.5207345608,0.7458622455596924,0.09409236907958984,0.0606686,0.0,1.6198129653930664,3.480637788772583,5,-579.727944928,3,0.00978737,-0.0606686,8.51167,0.999676,4972.48,0.57259069828,14.88378620147705,0.720374827307,-509.924152467,4.76837e-09,53.2448535328,-641.442809078
-52.7024681637,0.7934699058532715,0.09303808212280273,0.0533939,0.0,1.6715960502624512,3.5761654376983643,5,-498.570295587,4,0.00641539,-0.0533939,8.51265,0.99984,4977.35,-0.734629668679,18.46531081199646,0.767094549959,-399.461067087,-2.25067e-08,55.6458841313,-571.838644761
-62.0404324223,0.8129010200500488,0.09182381629943848,0.0586177,0.0,1.6752827167510986,3.542384147644043,5,-628.20234325,5,0.00986048,-0.0586177,8.51265,0.99984,4977.34,0.382582688314,22.012171268463135,0.756930862337,-431.39673453,1.688e-08,134.984355002,-814.037028883
-79.3863916714,0.7943785190582275,0.09648323059082031,0.052147,0.0,1.6492524147033691,3.5030996799468994,5,-603.786329078,6,0.00641131,-0.052147,8.51216,0.999758,4974.88,0.351812342371,25.643256664276123,0.725040920202,-396.749176726,2.46048e-08,175.411362308,-869.45741059
-54.4953683048,0.8099000453948975,0.09069371223449707,0.055279,0.0,1.663480520248413,3.481332540512085,5,-591.44800416,7,0.00644168,-0.055279,8.51391,1.00005,4983.61,0.278839744446,29.13004231452942,0.730493359062,-412.527671226,-1.52588e-08,237.35486114,-1048.71609588
-58.0424790531,0.8349266052246094,0.09813952445983887,0.0658386,0.0,1.6825685501098633,3.526611328125,5,-527.085378398,8,0.00992726,-0.0658386,8.51334,0.999955,4980.75,0.141711564355,32.66178107261658,0.733907230673,-417.424216749,7.62939e-09,75.0649421215,-643.372999136
-84.1598096401,0.8639588356018066,0.09958791732788086,0.0492644,0.0,1.695112943649292,3.573620319366455,5,-748.753582619,9,0.00642226,-0.0492644,8.5165,1.00048,4996.54,0.390220922046,36.335716247558594,0.793449408073,-582.855529081,2.67029e-09,141.498256876,-938.992353373
-63.4985220862,0.8587439060211182,0.10269308090209961,0.0497156,0.0,1.7491302490234375,3.6584396362304688,5,-606.282933493,10,0.00642642,-0.0497155,8.51505,1.00024,4989.31,0.297862170516,39.99865436553955,0.807485776037,-430.053813574,1.67847e-08,146.993813005,-871.867238393
-43.3045524095,0.836113691329956,0.09566283226013184,0.0614786,0.0,1.689924955368042,3.5451102256774902,5,-626.395501153,11,0.00983175,-0.0614785,8.51783,1.00071,5003.17,0.374990762015,43.54927611351013,0.790153965486,-470.872357386,2.95639e-08,112.484934362,-790.727259154
-48.5831271824,0.837883472442627,0.09746432304382324,0.0645513,0.0,1.6881012916564941,3.5238142013549805,5,-501.993747453,12,0.00997593,-0.0645513,8.51965,1.00101,5012.32,-0.0258872438954,47.19260334968567,0.779680326913,-378.15489762,6.86645e-09,90.7974023634,-625.523955704
-53.4568131982,0.8226714134216309,0.09358501434326172,0.049683,0.0,1.7149064540863037,3.5286152362823486,5,-529.299789829,13,0.00642314,-0.049683,8.52399,1.00173,5034.09,0.440320294777,50.72546744346619,0.777470707994,-407.293205872,1.16348e-08,90.4483064024,-623.68846161
-56.8975961864,0.8171060085296631,0.09240603446960449,0.0597526,0.0,1.6891088485717773,3.4882493019104004,5,-561.975655796,14,0.00994802,-0.0597526,8.52058,1.00116,5016.98,0.244201247053,54.21708941459656,0.744123192423,-424.764560446,-2.71797e-08,91.0250061292,-683.585434091
-46.6726831045,0.8221991062164307,0.09793329238891602,0.0658374,0.0,1.6496388912200928,3.4916865825653076,5,-456.127534474,15,0.00990585,-0.0658375,8.52073,1.00119,5017.7,0.240700264389,57.8110876083374,0.727221548992,-325.89281884,-3.03268e-08,109.340171431,-588.65803708
-74.0205804164,0.8300023078918457,0.09774661064147949,0.048807,0.0,1.662956953048706,3.497025728225708,5,-489.137577542,16,0.00641887,-0.0488071,8.51819,1.00077,5004.96,0.238082198084,61.31204628944397,0.692671447247,-341.169457885,-1.06812e-08,115.826845567,-625.165991019
-43.5479506519,0.8278636932373047,0.09228730201721191,0.0652201,0.0,1.6901195049285889,3.5115463733673096,5,-491.318748418,17,0.00991963,-0.0652201,8.51846,1.00081,5006.33,0.162395423147,64.82868552207947,0.703033753851,-355.069206929,-7.24792e-09,119.986819807,-667.60340971
-37.5505223459,0.8213651180267334,0.09404206275939941,0.0656446,0.0,1.6658296585083008,3.472496747970581,5,-434.772426179,18,0.00981072,-0.0656446,8.51838,1.0008,5005.93,0.336560593524,68.40775418281555,0.754402111611,-389.379494866,-7.24792e-09,27.4703411237,-472.682647204
-40.0473208979,0.849492073059082,0.09652090072631836,0.0614767,0.0,1.7027463912963867,3.5417349338531494,5,-410.988140465,19,0.00995985,-0.0614767,8.51988,1.00105,5013.45,0.174205300538,71.95499730110168,0.764506108113,-353.686001249,4.57764e-09,45.4565040906,-465.009908775
-42.4015985879,0.8494951725006104,0.09937715530395508,0.059985,0.0,1.6870689392089844,3.5541534423828125,5,-398.011624645,20,0.00982587,-0.059985,8.51732,1.00062,5000.63,-0.0748726688516,75.51318025588989,0.721098736332,-285.957541749,-1.75476e-08,99.1527372155,-574.853994836
-47.5171896124,0.866551399230957,0.09854793548583984,0.0609897,0.0,1.7129230499267578,3.5993032455444336,5,-404.727365196,21,0.00996792,-0.0609897,8.51693,1.00056,4998.67,0.14900320011,79.22172379493713,0.757108042201,-336.781358072,1.10626e-08,49.7809767921,-465.58247152
-59.4304630468,0.8197650909423828,0.09609270095825195,0.0627479,0.0,1.6968615055084229,3.5115065574645996,5,-507.597567585,22,0.00993509,-0.0627479,8.51679,1.00054,4998.0,0.213927448357,82.7369315624237,0.741613731451,-427.597661426,-1.12534e-08,58.863255193,-586.390296813
-37.7762175434,0.7988128662109375,0.09631824493408203,0.0633536,0.0,1.6915721893310547,3.4514331817626953,5,-405.064276723,23,0.00997799,-0.0633536,8.5169,1.00056,4998.52,-0.231787491107,86.19358491897583,0.746946336769,-332.481852554,1.90735e-09,65.9976930243,-514.522621146
-37.7668978299,0.8445518016815186,0.10966277122497559,0.0479188,0.0,1.7201852798461914,3.600268602371216,5,-426.8770746,24,0.00640791,-0.0479188,8.51379,1.00004,4982.99,0.0565257327163,89.89447927474976,0.685942490107,-407.172457785,9.63211e-09,20.3995443325,-456.293974025
-36.1085782775,0.8535068035125732,0.0934898853302002,0.0507457,0.0,1.736365556716919,3.6037685871124268,5,-425.334079394,25,0.00641348,-0.0507458,8.51458,1.00017,4986.97,-0.23835430422,93.5033175945282,0.793100399727,-297.123270572,-9.29832e-08,91.3718138573,-576.544156994
-36.5016601117,0.8449585437774658,0.09379863739013672,0.0612782,0.0,1.7210886478424072,3.5983781814575195,5,-436.197128061,26,0.00981613,-0.0612782,8.51521,1.00028,4990.11,0.14512524064,97.10733437538147,0.765757279079,-351.187872914,1.10626e-08,70.9125651816,-541.262878085
-29.265843216,0.8540263175964355,0.10718631744384766,0.0620032,0.0,1.699591875076294,3.5913469791412354,5,-390.874672112,27,0.00984533,-0.0620033,8.51387,1.00006,4983.41,0.00414520845112,100.8075168132782,0.752432573714,-325.416796201,-2.98023e-08,63.6518761644,-506.751686069
-53.3467729655,0.8496999740600586,0.10337162017822266,0.0613218,0.0,1.710170030593872,3.5562198162078857,5,-453.280711833,28,0.0098821,-0.0613218,8.51428,1.00013,4985.47,0.170569078897,104.36698842048645,0.765949530734,-347.548778475,-2.36511e-08,91.0008094975,-560.446357424
-43.8928103058,0.8469865322113037,0.10231184959411621,0.0617001,0.0,1.7232666015625,3.609189510345459,5,-487.988969969,29,0.00995126,-0.0617001,8.51089,0.999566,4968.57,-0.286724589504,107.98203086853027,0.74438069036,-421.168221579,-4.3869e-09,54.940929001,-576.155805446
