Entropy,AbsLearnSignal,MaxReturn,ProcessExecTime,PolicyExecTime,NumTrajs,ItrTime,StdReturn,EnvExecTime,dLoss,LossBefore,AveragePolicyStd,Time,ExplainedVariance,Iteration,AverageReturn,MinReturn,AverageDiscountedReturn,LossAfter,MeanKL,MeanKLBefore,Perplexity
8.51363,0.767157874819,-329.2715031,0.10609889030456543,0.7441418170928955,5,3.6263790130615234,43.1403455897,1.4291141033172607,0.0479887,-4.86374e-09,1.0,3.626398801803589,3.01381142265e-11,0,-385.005644196,-455.987941207,-41.3176929597,-0.0479887,0.00640757,0.0,4982.22
8.50975,0.751994196871,-217.318043699,0.10117340087890625,0.8708853721618652,5,3.5815041065216064,97.5261895639,1.4863686561584473,0.066598,-2.60353e-08,0.999355,7.224841117858887,-1.31220399454,1,-373.81065929,-522.346390896,-36.4135374707,-0.066598,0.00997217,0.0,4962.92
8.51484,0.80386429542,-326.118547416,0.10100388526916504,0.8858535289764404,5,3.6211085319519043,43.0686243498,1.5075562000274658,0.062512,-9.91821e-09,1.00021,10.849703311920166,0.178957939303,2,-384.739723882,-440.012894047,-40.6213044239,-0.062512,0.00995907,0.0,4988.27
8.51364,0.774315036634,-282.83941618,0.10056090354919434,0.9078090190887451,5,3.4887943267822266,53.1084052843,1.474494218826294,0.0609112,2.28882e-09,1.0,14.468050956726074,0.0584550518759,3,-353.689996451,-442.165409955,-25.5836566113,-0.0609112,0.0099813,0.0,4982.24
8.51507,0.757465583969,-331.348527891,0.11154413223266602,0.9135258197784424,5,3.5448241233825684,21.925193275,1.524005651473999,0.0634255,-4.3869e-09,1.00024,18.015823125839233,0.0455118325474,4,-370.137041457,-397.400759537,-25.2434092901,-0.0634255,0.00996225,0.0,4989.38
8.51562,0.77083030247,-276.666719686,0.10103631019592285,0.9196054935455322,5,3.5851688385009766,98.2391418782,1.4911293983459473,0.0599004,3.39508e-08,1.00034,21.60408067703247,0.0921408685555,5,-403.919537339,-567.20452926,-35.0393363825,-0.0599004,0.00996975,0.0,4992.16
8.51819,0.770800859182,-224.500609739,0.10328054428100586,0.9233493804931641,5,3.5247607231140137,87.7164911318,1.4973094463348389,0.0501323,1.33514e-08,1.00076,25.242100954055786,-0.0938266910772,6,-319.768438467,-451.849424652,-33.4287165682,-0.0501323,0.00641928,0.0,5004.98
8.51933,0.804969118668,-305.521402036,0.10323524475097656,0.8847658634185791,5,3.4729371070861816,106.151664873,1.4738285541534424,0.0604912,1.01566e-08,1.00095,28.71816611289978,0.0600040705529,7,-419.647379,-592.3659746,-52.6926115872,-0.0604912,0.00991806,0.0,5010.72
8.51595,0.786641465995,-151.763968605,0.10312891006469727,0.9039843082427979,5,3.5593931674957275,106.015961609,1.5095348358154297,0.060292,-6.44684e-08,1.0004,32.280882835388184,-0.0436643257743,8,-337.338459604,-463.336892529,-25.9455680303,-0.0602921,0.00991921,0.0,4993.8
8.52281,0.779120129398,-196.874704538,0.10071229934692383,0.9150247573852539,5,3.524442672729492,67.582422869,1.5015029907226562,0.0654244,2.59399e-08,1.00154,35.91818952560425,-0.189204885423,9,-313.81460254,-397.937637259,-28.4474082293,-0.0654244,0.00996163,0.0,5028.16
8.5185,0.744678816017,-196.435797076,0.10302066802978516,0.9055018424987793,5,3.503655433654785,92.2458241393,1.4927024841308594,0.0592906,-7.43866e-09,1.00082,39.425377368927,0.368955095744,10,-345.868134115,-480.086211993,-34.0472254776,-0.0592906,0.00990375,0.0,5006.52
8.51463,0.726129962987,-308.652110947,0.10388803482055664,0.909407377243042,5,3.51934814453125,77.6770876499,1.5120186805725098,0.0606308,-3.5286e-08,1.00018,42.94803476333618,-0.906032890624,11,-381.203400544,-527.699539014,-26.6994323411,-0.0606309,0.00997741,0.0,4987.2
8.50804,0.770603439712,-300.631107544,0.10571789741516113,0.8958532810211182,5,3.4797332286834717,32.0358179916,1.4898912906646729,0.0623301,5.72205e-10,0.999082,46.54664444923401,0.0566559572169,12,-343.880991913,-380.174486325,-40.2586371433,-0.0623301,0.0099084,0.0,4954.45
8.50359,0.797508640787,-243.873618626,0.10682797431945801,0.925201416015625,5,3.592658281326294,62.7308941237,1.5212819576263428,0.0598189,5.34058e-09,0.998344,50.143317222595215,0.223536964887,13,-344.961565244,-416.86029927,-41.1728999925,-0.0598189,0.00992403,0.0,4932.47
8.50844,0.761360221882,-189.991165434,0.10437273979187012,0.9247245788574219,5,3.51511287689209,49.9319550234,1.4929909706115723,0.0605843,7.34329e-09,0.999156,53.66475439071655,-0.12230868621,14,-283.555783873,-331.662284213,-18.156038528,-0.0605843,0.00996083,0.0,4956.45
8.50476,0.776376305524,42.2206335222,0.10910201072692871,0.9249770641326904,5,3.543532133102417,173.034973787,1.4963843822479248,0.0497464,1.67847e-08,0.99855,57.32375192642212,-1.7084026134,15,-230.383102935,-446.276094097,-16.6311472495,-0.0497464,0.00641887,0.0,4938.22
8.50165,0.781676586671,-282.871462042,0.10459470748901367,0.8955419063568115,5,3.483325481414795,60.5181885429,1.484316349029541,0.0626736,1.01089e-08,0.998035,60.81079936027527,0.148548956548,16,-358.945487854,-435.34652043,-36.1046405453,-0.0626736,0.00998627,0.0,4922.9
8.50836,0.727830297271,-217.072529339,0.10372233390808105,0.9231576919555664,5,3.5311460494995117,68.4438362893,1.5251436233520508,0.0633755,-6.24657e-09,0.999157,64.34516596794128,0.166234292587,17,-334.70166738,-392.845191005,-35.2963933763,-0.0633755,0.00999615,0.0,4956.03
8.50677,0.774690250154,-246.90048361,0.10597562789916992,0.9165606498718262,5,3.539914608001709,62.3476139398,1.506371259689331,0.0585897,4.11987e-08,0.998891,68.00128507614136,-0.0899631832808,18,-332.64905303,-424.208636169,-31.0597243339,-0.0585897,0.00989969,0.0,4948.17
8.50304,0.746053177733,-180.493972925,0.10093426704406738,0.9311714172363281,5,3.567617177963257,80.584220725,1.528038740158081,0.0469475,1.07765e-08,0.998265,71.57317113876343,0.164321613962,19,-313.670745506,-395.119779267,-29.8360407882,-0.0469475,0.00643684,0.0,4929.72
