dLoss,NumTrajs,LossBefore,EnvExecTime,MeanKL,ItrTime,AveragePolicyStd,MinReturn,AverageReturn,MeanKLBefore,StdReturn,AbsLearnSignal,PolicyExecTime,ExplainedVariance,AverageDiscountedReturn,Iteration,Perplexity,MaxReturn,Time,Entropy,LossAfter,ProcessExecTime
0.0637967,5,-5.46455e-08,1.4436631202697754,0.00998355,3.98032546043396,1.0,-548.453888868,-436.712323854,0.0,66.3689640084,0.733812449676,0.8388111591339111,2.91034973898e-11,-37.7289141415,0,4982.22,-357.514875668,3.9803426265716553,8.51363,-0.0637968,0.10406613349914551
0.0775861,5,3.03268e-08,1.4650280475616455,0.00985298,3.7648932933807373,1.0001,-516.436811007,-411.487579625,0.0,60.8888903097,0.641069720924,0.8048474788665771,-2.85504039631,-28.482861375,1,4985.23,-340.018840471,7.761266231536865,8.51424,-0.077586,0.10706329345703125
0.066268,5,7.24792e-09,1.450897455215454,0.00980712,3.798065662384033,1.00045,-382.087533834,-341.762080708,0.0,22.725681804,0.768045952983,0.8069558143615723,0.214583224108,-18.7264009469,2,4995.52,-314.14349904,11.562783241271973,8.5163,-0.066268,0.10353493690490723
0.0626791,5,-6.67572e-09,1.4776394367218018,0.00984423,3.57474684715271,1.00089,-408.227753092,-339.881761207,0.0,35.4248433016,0.7604511441,0.8465678691864014,0.479524592047,-16.4440967071,3,5008.79,-306.000620754,15.250195264816284,8.51895,-0.0626791,0.11144375801086426
0.0481198,5,-1.11198e-07,1.4562573432922363,0.00641197,3.5595591068267822,1.0012,-451.391835646,-362.750711552,0.0,47.7034679981,0.759787604003,0.8223564624786377,-1.3344040034,-13.971782052,4,5017.91,-313.455676822,18.813308715820312,8.52077,-0.0481199,0.10824131965637207
0.0646027,5,1.18256e-08,1.485478162765503,0.00995608,3.5726914405822754,1.00056,-421.139975309,-363.399436112,0.0,37.1810675348,0.740198498333,0.8703961372375488,0.29995491467,-25.8085041416,5,4998.8,-305.211022635,22.389793872833252,8.51695,-0.0646027,0.10819673538208008
0.0652428,5,2.28882e-09,1.4398901462554932,0.00991328,3.565134048461914,1.00075,-408.208444068,-375.975970917,0.0,25.3448680313,0.762991251291,0.8213529586791992,0.00849809883844,-28.4672130778,6,5004.59,-336.88080811,26.070152759552002,8.51811,-0.0652428,0.10427641868591309
0.0527978,5,1.03951e-08,1.4633243083953857,0.00641311,3.5331099033355713,1.00127,-439.683959745,-367.393339373,0.0,47.6262022622,0.727235145113,0.8343734741210938,0.077110536825,-11.7347502595,7,5020.12,-299.482265627,29.607595682144165,8.52121,-0.0527978,0.10704874992370605
0.0603219,5,6.75678e-08,1.4631588459014893,0.00987722,3.4714155197143555,1.00088,-419.640930566,-322.311206278,0.0,56.0789685824,0.761703684041,0.8419299125671387,-2.37116237346,-22.5024589985,8,5008.22,-244.801172921,33.08333134651184,8.51884,-0.0603219,0.10410237312316895
0.114347,5,4.95911e-08,1.474346399307251,0.00989709,3.639080047607422,1.00087,-359.182301913,-295.856680584,0.0,91.134059962,0.5508724077,0.8539278507232666,-6.58202303124,-20.0453194278,9,5008.04,-117.875571327,36.83522439002991,8.5188,-0.114347,0.10597038269042969
