AveragePolicyStd,ProcessExecTime,Entropy,ExplainedVariance,Iteration,MaxReturn,MeanKL,AverageDiscountedReturn,dLoss,PolicyExecTime,AbsLearnSignal,EnvExecTime,Time,AverageReturn,MeanKLBefore,Perplexity,MinReturn,StdReturn,NumTrajs,LossBefore,LossAfter,ItrTime
1.0,0.15794801712036133,24.122,9.48541245549e-12,0,237.617335369,0.00662235,92.1642764185,0.0709626,1.0058577060699463,0.832969468047,7.322155237197876,11.494087934494019,102.709561749,0.0,2.99248e+10,67.9438126672,28.7544222531,236,-2.4969e-08,-0.0709626,11.494081974029541
1.00006,0.14671802520751953,24.1229,0.493648356613,1,233.47624519,0.00990434,93.3312255139,0.0962617,1.0163917541503906,0.65481210058,7.374906301498413,22.67073702812195,104.258934332,0.0,2.9954e+10,71.0429644951,30.4920771322,233,3.06561e-08,-0.0962617,11.045749425888062
0.999562,0.14852428436279297,24.1145,0.56287414109,2,219.236953709,0.00480661,95.3583776353,0.066095,1.0043034553527832,0.68044007715,7.433114290237427,33.89707636833191,106.834108014,0.0,2.97026e+10,74.6508925849,31.0881437489,228,2.69335e-08,-0.0660949,11.105104923248291
0.99937,0.1431286334991455,24.1112,0.109353952606,3,254.814194928,0.00671126,95.8296252252,0.0606099,0.9684929847717285,0.515866591799,7.343493223190308,45.004098415374756,107.442559695,0.0,2.96055e+10,71.3993972241,31.8101927532,226,-1.20468e-08,-0.0606099,11.000282049179077
0.999521,0.14085626602172852,24.1138,0.216299486454,4,263.037659107,0.00346694,98.6967160943,0.0491441,0.9443273544311523,0.544616769117,7.130803108215332,55.81728482246399,111.217637624,0.0,2.96815e+10,72.5452988872,35.0678400753,220,-1.13826e-08,-0.0491441,10.700018644332886
0.999549,0.14213871955871582,24.1143,0.559709756057,5,235.789693068,0.00958793,97.157677273,0.096025,0.9554777145385742,0.743811323523,7.230513572692871,66.57893013954163,109.073976697,0.0,2.96955e+10,75.1424976415,30.3904135218,222,3.81241e-09,-0.096025,10.641697645187378
0.999172,0.13974261283874512,24.1079,0.389683573617,6,285.99420741,0.00642935,100.017275269,0.0765028,0.95013427734375,0.673510151516,7.232845067977905,77.3833429813385,113.051349387,0.0,2.9506e+10,76.012416034,36.3002891343,215,7.5305e-09,-0.0765028,10.69264030456543
0.998844,0.14083361625671387,24.1023,0.478578376941,7,235.416742344,0.00658262,98.1290386148,0.0740324,0.9383950233459473,0.717749134895,7.207465887069702,88.55284643173218,110.263288647,0.0,2.93418e+10,71.9909199082,29.9817936448,220,-1.84276e-08,-0.0740324,11.063004970550537
0.998775,0.14543652534484863,24.1011,0.374421990491,8,291.292514537,0.00913041,98.434672333,0.087552,0.983691930770874,0.661033886348,7.331975698471069,99.37513494491577,110.989405608,0.0,2.93069e+10,72.0811227576,35.76400395,220,5.62598e-09,-0.087552,10.710740089416504
0.999187,0.14163708686828613,24.1081,0.176772478412,9,330.631760018,0.00928542,103.086610258,0.0965988,0.9776592254638672,0.597499105656,7.307039260864258,110.21111416816711,116.957048339,0.0,2.95128e+10,75.6927346621,36.9038252317,208,1.19613e-08,-0.0965987,10.716569423675537
