Iteration,AverageReturn
0,-7.11512
1,-5.37163
2,-3.82561
3,-2.80216
4,-0.72879
5,0.348402
6,1.39007
7,3.35225
8,4.48129
9,4.91481
10,7.84202
11,12.8871
12,10.9729
13,19.9145
14,19.4759
15,23.0172
16,27.8027
17,28.024
18,34.118
19,57.1049
20,46.8043
21,51.4462
22,55.9149
23,78.2361
24,96.1464
25,96.8274
26,108.595
27,128.932
28,150.774
29,142.473
30,112.781
31,119.097
32,150.02
33,125.792
34,129.193
35,158.413
36,151.384
37,215.009
38,216.057
39,173.362
40,185.557
41,238.892
42,218.988
43,244.515
44,208.005
45,207.074
46,222.387
47,267.23
48,254.546
49,256.885
50,228.478
51,240.27
52,284.357
53,261.69
54,282.621
55,273.442
56,335.191
57,235.991
58,253.055
59,244.704
60,251.826
61,308.323
62,230.967
63,284.956
64,264.858
65,301.798
66,298.288
67,258.186
68,335.861
69,292.587
70,286.801
71,283.68
72,269.406
73,306.329
74,282.189
75,353.874
76,271.932
77,294.249
78,353.034
79,318.692
80,293.883
81,294.637
82,335.291
83,310.578
84,320.306
85,260.326
86,304.67
87,324.619
88,325.652
89,327.57
90,297.792
91,311.621
92,305.619
93,359.025
94,315.359
95,316.392
96,321.716
97,349.04
98,322.112
99,327.832
100,316.613
101,310.191
102,304.171
103,337.219
104,318.932
105,312.434
106,344.193
107,361.757
108,339.788
109,307.243
110,367.38
111,336.868
112,341.822
113,307.781
114,337.85
115,326.544
116,358.155
117,370.961
118,379.398
119,327.571
120,340.2
121,366.483
122,353.264
123,347.755
124,342.481
125,325.373
126,362.571
127,326.639
128,368.742
129,336.225
130,353.272
131,364.476
132,327.123
133,400.488
134,368.269
135,322.38
136,360.136
137,344.131
138,359.057
139,377.423
140,379.807
141,362.73
142,355.447
143,348.247
144,341.02
145,348.28
146,347.764
147,367.706
148,365.062
149,358.733
150,383.244
151,380.316
152,350.148
153,342.572
154,381.677
155,386.817
156,358.329
157,381.28
158,307.294
159,382.938
160,346.407
161,384.426
162,350.454
163,366.557
164,335.304
165,388.937
166,305.912
167,346.128
168,350.883
169,331.338
170,353.47
171,388.417
172,391.989
173,355.518
174,347.278
175,341.833
176,351.587
177,399.175
178,353.281
179,406.867
180,323.375
181,348.159
182,338.85
183,386.138
184,362.858
185,348.16
186,367.199
187,362.989
188,357.936
189,362.592
190,379.758
191,374.087
192,346.229
193,387.457
194,359.487
195,370.837
196,369.233
197,356.89
198,311.996
199,365.281
200,311.922
201,342.775
202,321.954
203,370.433
204,340.592
205,391.189
206,375.24
207,378.784
208,362.813
209,360.293
210,345.031
211,335.366
212,399.813
213,369.478
214,341.116
215,339.13
216,353.226
217,380.671
218,371.518
219,400.824
220,393.331
221,376.865
222,377.926
223,344.888
224,364.719
225,390.422
226,361.325
227,370.455
228,368.09
229,363.059
230,383.59
231,377.418
232,362.279
233,367.327
234,369.795
235,401.395
236,403.449
237,401.79
238,392.85
239,370.481
240,383.042
241,351.587
242,414.127
243,376.09
244,411.074
245,326.243
246,398.471
247,383.105
248,334.756
249,338.368
250,396.057
251,356.81
252,346.954
253,363.797
254,382.163
255,349.304
256,408.108
257,322.369
258,346.79
259,398.89
260,363.999
261,361.764
262,375.611
263,375.741
264,376.127
265,374.451
266,422.785
267,350.115
268,353.602
269,354.73
270,358.197
271,403.422
272,430.812
273,381.371
274,425.925
275,383.571
276,380.589
277,344.742
278,390.765
279,381.512
280,387.393
281,399.08
282,390.635
283,405.843
284,387.339
285,373.206
286,380.167
287,381.008
288,402.609
289,353.613
290,394.921
291,347.086
292,442.147
293,378.744
294,397.141
295,384.509
296,421.52
297,435.395
298,386.894
299,463.665
300,401.455
301,390.684
302,420.633
303,371.324
304,458.962
305,300.951
306,450.006
307,445.482
308,389.547
309,393.138
310,364.517
311,397.663
312,393.821
313,439.149
314,437.986
315,363.93
316,452.708
317,418.406
318,435.132
319,397.395
320,410.33
321,466.67
322,447.05
323,445.126
324,447.224
325,529.693
326,408.576
327,404.954
328,442.789
329,422.582
330,513.248
331,511.011
332,440.026
333,453.183
334,522.484
335,489.942
336,486.17
337,615.204
338,531.48
339,524.148
340,433.124
341,509.727
342,583.128
343,442.518
344,521.131
345,507.778
346,537.741
347,516.755
348,688.013
349,749.48
350,629.862
351,548.751
352,768.28
353,562.525
354,516.84
355,666.747
356,625.141
357,463.81
358,578.553
359,485.615
360,561.186
361,665.295
362,606.844
363,638.34
364,767.709
365,554.754
366,471.973
367,636.82
368,650.293
369,501.817
370,662.253
371,761.511
372,484.844
373,492.384
374,504.366
375,658.231
376,532.3
377,501.099
378,714.032
379,620.902
380,522.507
381,656.013
382,517.66
383,717.756
384,542.871
385,699.189
386,457.037
387,643.028
388,640.991
389,563.378
390,617.965
391,603.858
392,635.15
393,689.469
394,618.957
395,582.328
396,675.717
397,557.228
398,623.155
399,758.251
400,693.006
401,554.636
402,604.973
403,612.381
404,593.125
405,632.461
406,565.341
407,777.663
408,736.164
409,565.708
410,671.877
411,664.947
412,610.995
413,475.256
414,594.55
415,675.234
416,769.216
417,733.826
418,627.775
419,648.385
420,689.117
421,761.966
422,958.118
423,519.092
424,711.215
425,703.144
426,697.241
427,694.7
428,1003.76
429,831.635
430,784.829
431,615.021
432,589.936
433,697.677
434,715.932
435,669.544
436,776.812
437,692.672
438,820.122
439,774.897
440,828.432
441,742.683
442,1034.14
443,785.325
444,675.051
445,681.026
446,572.85
447,731.928
448,554.065
449,650.929
450,570.99
451,524.967
452,479.055
453,697.132
454,597.298
455,611.056
456,645.163
457,869.288
458,799.088
459,912.572
460,581.564
461,784.816
462,567.38
463,608.338
464,612.927
465,523.982
466,672.029
467,790.973
468,943.851
469,731.389
470,747.123
471,565.231
472,726.275
473,904.077
474,828.387
475,579.415
476,645.673
477,712.991
478,496.516
479,666.997
480,676.709
481,654.864
482,929.692
483,717.13
484,716.022
485,684.118
486,884.431
487,643.365
488,748.957
489,582.459
490,632.75
491,562.919
492,610.88
493,578.803
494,687.943
495,520.057
496,892.639
497,589.571
498,706.358
499,783.545
500,684.337
501,646.49
502,740.663
503,603.371
504,748.298
505,515.149
506,772.038
507,642.762
508,657.975
509,929.239
510,603.216
511,865.968
512,1009.34
513,809.751
514,710.818
515,692.989
516,728.45
517,815.067
518,756.536
519,635.821
520,751.763
521,1006.97
522,689.826
523,672.13
524,632.31
525,623.627
526,825.65
527,941.865
528,880.012
529,604.804
530,846.441
531,575.815
532,730.947
533,659.593
534,856.131
535,639.572
536,606.247
537,795.451
538,883.609
539,889.909
540,803.799
541,550.517
542,835.446
543,900.736
544,895.114
545,747.725
546,873.515
547,1019.05
548,503.496
549,671.779
550,533.242
551,741.72
552,740.297
553,834.273
554,715.621
555,795.125
556,813.729
557,827.675
558,719.736
559,786.991
560,739.873
561,845.034
562,783.903
563,936.542
564,814.946
565,669.397
566,823.45
567,748.083
568,639.398
569,676.703
570,896.505
571,539.019
572,747.599
573,968.874
574,718.292
575,766.871
576,993.295
577,738.087
578,621.277
579,858.185
580,632.911
581,510.82
582,871.305
583,563.519
584,908.088
585,869.542
586,1034.3
587,759.654
588,836.727
589,893.369
590,818.262
591,671.433
592,590.617
593,841.198
594,881.773
595,684.347
596,628.779
597,591.406
598,886.319
599,693.879
600,882.156
601,723.388
602,726.125
603,885.839
604,579.772
605,819.655
606,617.182
607,632.586
608,546.699
609,591.989
610,580.882
611,824.143
612,842.92
613,522.475
614,530.179
615,884.619
616,577.427
617,493.429
618,837.866
619,782.618
620,868.835
621,742.005
622,656.209
623,731.165
624,499.288
625,912.07
626,701.75
627,822.188
628,725.088
629,730.889
630,548.197
631,1167.96
632,613.607
633,608.777
634,518.722
635,845.602
636,826.224
637,632.667
638,844.532
639,732.409
640,731.676
641,1242.01
642,930.654
643,811.614
644,915.422
645,949.161
646,709.772
647,768.464
648,1075.45
649,648.603
650,619.981
651,604.279
652,654.959
653,716.808
654,672.326
655,608.328
656,716.466
657,643.997
658,690.906
659,1385.56
660,674.868
661,867.716
662,673.876
663,813.731
664,851.69
665,646.572
666,834.814
667,855.521
668,705.65
669,706.889
670,596.011
671,584.119
672,1032.52
673,740.109
674,658.033
675,786.472
676,655.022
677,760.205
678,758.314
679,619.319
680,721.913
681,656.994
682,618.47
683,791.376
684,922.811
685,685.062
686,743.672
687,668.814
688,681.944
689,799.256
690,762.947
691,986.171
692,705.664
693,780.08
694,878.366
695,692.984
696,910.098
697,716.669
698,987.922
699,765.923
700,803.579
701,926.046
702,674.277
703,675.452
704,716.31
705,760.074
706,623.162
707,813.099
708,905.688
709,854.909
710,846.432
711,904.026
712,651.438
713,978.879
714,871.419
715,863.171
716,877.755
717,899.781
718,841.671
719,851.126
720,875.237
721,1127.15
722,975.148
723,1149.95
724,1012.27
725,717.418
726,750.587
727,817.422
728,879.291
729,1181.83
730,814.913
731,727.729
732,824.038
733,769.225
734,637.886
735,782.942
736,929.409
737,1050.49
738,646.408
739,1002.17
740,1241.24
741,1090.9
742,870.13
743,754.76
744,1076.08
745,795.584
746,950.918
747,778.155
748,798.698
749,855.356
750,684.658
751,618.66
752,907.717
753,815.123
754,815.366
755,832.346
756,766.551
757,861.287
758,796.264
759,774.042
760,823.717
761,874.17
762,751.605
763,845.697
764,974.045
765,1012.77
766,1041.72
767,907.461
768,1021.67
769,883.315
770,1144.97
771,1212.92
772,1141.09
773,845.862
774,1079.88
775,910.586
776,1139.04
777,956.446
778,738.853
779,1166.69
780,1137.34
781,896.902
782,1081.25
783,835.279
784,669.744
785,1026.58
786,912.335
787,1039.61
788,928.468
789,699.617
790,931.309
791,818.286
792,782.272
793,839.17
794,664.491
795,903.975
796,886.357
797,794.022
798,617.116
799,806.983
800,1018.66
801,1072.09
802,1141.22
803,709.021
804,891.315
805,1194.77
806,835.789
807,934.162
808,983.295
809,1316.87
810,925.869
811,823.301
812,1020.09
813,975.73
814,839.707
815,851.694
816,700.874
817,836.408
818,1120.65
819,1007.22
820,842.461
821,780.454
822,887.677
823,876.112
824,726.904
825,888.208
826,1095.01
827,834.505
828,1065.71
829,700.4
830,805.074
831,957.062
832,934.309
833,1107.94
834,711.719
835,768.004
836,1022.73
837,973.79
838,671.013
839,704.966
840,727.735
841,932.512
842,890.468
843,995.638
844,708.54
845,1155.65
846,758.012
847,974.24
848,888.729
849,801.777
850,1306.51
851,900.719
852,901.969
853,917.895
854,912.752
855,1078.19
856,1554.27
857,973.813
858,723.606
859,938.162
860,739.463
861,663.699
862,698.155
863,724.192
864,772.831
865,941.423
866,943.08
867,923.946
868,889.454
869,1074.98
870,714.574
871,862.932
872,908.434
873,812.493
874,717.507
875,825.31
876,789.666
877,1072.64
878,810.459
879,852.346
880,726.542
881,1068.55
882,495.504
883,798.767
884,722.974
885,741.708
886,894.261
887,1132.93
888,855.134
889,807.115
890,909.429
891,701.22
892,879.728
893,854.051
894,783.806
895,800.496
896,1049.84
897,1135.14
898,764.03
899,703.304
900,613.665
901,685.27
902,680.534
903,871.868
904,926.65
905,902.898
906,520.291
907,827.891
908,778.537
909,638.291
910,826.458
911,877.712
912,1077.11
913,1037.06
914,871.451
915,862.115
916,1014.18
917,820.782
918,1093.67
919,1042.27
920,1058.71
921,788.908
922,1005.52
923,857.941
924,1294.67
925,652.756
926,735.373
927,847.491
928,908.153
929,818.415
930,793.926
931,901.385
932,680.381
933,783.333
934,691.993
935,929.714
936,830.231
937,759.186
938,798.041
939,853.538
940,815.855
941,869.624
942,764.235
943,935.846
944,983.199
945,1008.98
946,952.968
947,615.957
948,951.737
949,729.607
950,1033.01
951,1236.15
